statistic,value
dip_test_D,0.0718
dip_test_p,0.008
GMM_best_k,2.0
mode1_bp,85.0
mode2_bp,36966.0
antimode_bp,2700.0
n_proximal,33.0
n_distal,35.0
proximal_pct_first_disjoint,24.2
distal_pct_first_disjoint,100.0
proximal_pct_internal,57.6
distal_pct_internal,80.0
proximal_pct_boundary_offset_only,36.8
KO_dip_p,0.4453
WT_proximal_share_pct,48.5
KO_proximal_share_pct,31.4
WT_vs_KO_fisher_p,0.1406
true_alt_promoter_pct,51.5
pure_promoter_switch_pct,10.3
internal_splicing_pct,69.1
