"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_switching_up","n_switching_down","max_abs_dif_switching","min_isoform_switch_q","min_gene_switch_q","has_opposing_direction_switches","has_multi_isoform_opposing_switch","rank","dataset_key","dataset_label","isoform_q_cutoff","gene_q_cutoff","min_abs_dif_cutoff"
"XLOC_003170","TMEM234",15,1,0,1,0.2981,0.0431815804609334,0.0431815804609334,FALSE,FALSE,34,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_035134","HIRA",7,1,1,0,0.2981,0.00482136852738749,0.00482136852738749,FALSE,FALSE,35,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_021533","KIF1C",4,1,0,1,0.292433333333333,1.06187727250743e-11,1.06187727250743e-11,FALSE,FALSE,36,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_047739","SBDSP1",10,1,0,1,0.2828,0.00638794521846613,0.00638794521846613,FALSE,FALSE,37,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_001633","CKS1B",7,1,1,0,0.2821,4.6368620879627e-05,4.6368620879627e-05,FALSE,FALSE,38,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_009327","RNF141",7,1,1,0,0.2819,0.00327491184492976,0.00327491184492976,FALSE,FALSE,39,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_054376","MIR600HG",10,1,1,0,0.275833333333333,0.0193587477286699,0.0193587477286699,FALSE,FALSE,40,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_045562","SYTL3",18,1,0,1,0.274566666666667,0.000359770125115378,0.000359770125115378,FALSE,FALSE,41,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_043172","DIMT1",17,1,0,1,0.271033333333333,1.02781397448389e-06,1.02781397448389e-06,FALSE,FALSE,42,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_003828","VAV3",12,1,0,1,0.270666666666667,0.0162368024267668,0.0162368024267668,FALSE,FALSE,43,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_042170","IRF1-AS1",25,1,1,0,0.266233333333333,0.0274521369431817,0.0274521369431817,FALSE,FALSE,44,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_029077","MERTK",18,1,1,0,0.263466666666667,0.0132653436057147,0.00497233460182995,FALSE,FALSE,45,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_052341","DGAT1",10,1,1,0,0.262933333333333,9.34263852149126e-08,9.34263852149126e-08,FALSE,FALSE,46,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_016503","COX16",8,1,0,1,0.2609,2.34530135020341e-09,2.34530135020341e-09,FALSE,FALSE,47,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_032814","TBC1D20",25,1,1,0,0.2563,6.78158985771316e-06,6.78158985771316e-06,FALSE,FALSE,48,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_000801","PRPF38A",14,1,1,0,0.2532,6.00509229674827e-05,6.00509229674827e-05,FALSE,FALSE,49,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_007201","EXOSC1",10,1,0,1,0.252366666666667,3.2771728547886e-07,3.2771728547886e-07,FALSE,FALSE,50,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_047195","ZNF316",3,1,1,0,0.250766666666667,0.00974371984314189,0.00974371984314189,FALSE,FALSE,51,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_046645","SESN1",9,1,0,1,0.2499,0.00237126964362705,0.00237126964362705,FALSE,FALSE,52,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_043002","NUP155",15,1,1,0,0.249533333333333,8.41207376768693e-05,8.41207376768693e-05,FALSE,FALSE,53,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_043075","EMB",6,1,1,0,0.247633333333333,3.64439820425664e-05,3.64439820425664e-05,FALSE,FALSE,54,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_019117","HAGHL",14,1,1,0,0.243466666666667,0.0456576490752209,0.0456576490752209,FALSE,FALSE,55,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_026083","PDCD5",10,1,1,0,0.2401,4.8400691145996e-31,4.8400691145996e-31,FALSE,FALSE,56,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_044645","PFDN6",8,1,0,1,0.239933333333333,3.77020684795584e-20,3.77020684795584e-20,FALSE,FALSE,57,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_025649","RPS28",5,1,0,1,0.2385,0.0019400256866325,0.0019400256866325,FALSE,FALSE,58,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_015442","PRKCH",20,2,0,2,0.231633333333333,1.42705294703522e-06,1.42705294703522e-06,FALSE,FALSE,59,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_053270","ZBTB43",6,1,1,0,0.229933333333333,0.000345835658317239,0.000345835658317239,FALSE,FALSE,60,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_010649","THYN1",13,1,0,1,0.229466666666667,3.36389433062937e-06,3.36389433062937e-06,FALSE,FALSE,61,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_022700","AFMID",15,1,1,0,0.227833333333333,9.82440503169708e-07,9.82440503169708e-07,FALSE,FALSE,62,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_050213","PTK2B",21,1,0,1,0.225333333333333,1.31057426419227e-08,1.31057426419227e-08,FALSE,FALSE,63,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_035493","POLR3H",10,1,1,0,0.224,5.28272763443727e-05,5.28272763443727e-05,FALSE,FALSE,64,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_030554","ASB3",11,1,1,0,0.2239,0.032401656403517,0.032401656403517,FALSE,FALSE,65,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_009077","ACAD8",18,1,1,0,0.2223,0.0310909489277302,0.0310909489277302,FALSE,FALSE,66,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_023119","ATPAF2",15,1,1,0,0.2208,0.00104227763105009,0.00104227763105009,FALSE,FALSE,67,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_031149","IL36B",4,1,0,1,0.220766666666667,1.67759780143082e-06,1.67759780143082e-06,FALSE,FALSE,68,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_025631","MCEMP1",9,1,0,1,0.220566666666667,4.06549432046011e-05,4.06549432046011e-05,FALSE,FALSE,69,"H_HT","H_HT_supplementary",0.05,0.05,0.15
