"pair","reference_arm","comparison_arm","n_ref","n_alt","n_switching_ref","n_switching_alt","crude_odds_ratio","crude_conf_low","crude_conf_high","crude_p","mh_odds_ratio","mh_conf_low","mh_conf_high","mh_p","note","n_genes_tested_in_both","sd_lfc_ref","sd_lfc_alt","sd_ratio","iqr_lfc_ref","iqr_lfc_alt","iqr_ratio","mean_abs_lfc_ref","mean_abs_lfc_alt","mean_abs_ratio","regression_slope_alt_on_ref","spearman_ref_vs_alt","pct_magnitude_retained_top200"
"UT: WT vs UBL5 KO","T_UT","U_UT",9017,9258,118,62,0.508476072747179,0.36719491604186,0.698280404983248,1.21244138388279e-05,0.773184613187476,0.565308064351522,1.05750206616216,0.113924734856934,"Response magnitude may be a mediator rather than a confounder; a non-significant adjusted OR shows the design cannot separate a splicing-specific effect from a globally blunted response, not that none exists.",8595,0.682705484514736,0.499031411486304,0.730961480177669,0.607733466443009,0.350848745804934,0.577306936638539,0.450711998552967,0.288274193042859,0.639597334813313,0.516134332946576,0.727416404397474,57.9140056350487
"HT: T vs H","T_HT","H_HT",8153,6437,95,169,2.28686105034076,1.76415768024713,2.97886137708847,6.83132840943878e-11,2.48923974280558,1.92816663423674,3.21357832209123,5.81747154038834e-13,"Response magnitude may be a mediator rather than a confounder; a non-significant adjusted OR shows the design cannot separate a splicing-specific effect from a globally blunted response, not that none exists.",5776,0.701851138322304,0.665707338702542,0.948502185654127,0.576952132755693,0.431444247332936,0.747799033642933,0.451171124245601,0.385374381993438,0.85416455372187,0.627513031019205,0.44740991938106,76.2642978587602
