"gene_id","gene_name","n_isoforms","n_novel_isoforms","n_switching_isoforms","n_novel_switching_isoforms","n_known_switching_isoforms","novel_involved","has_novel_isoform","max_abs_dif_switching","max_abs_dif_novel_switching","min_isoform_switch_q","min_novel_switch_q","dataset_label","rank"
"XLOC_011323","IL23A",4,2,2,1,1,TRUE,TRUE,0.2664,0.2664,9.75771050843367e-22,9.75771050843367e-22,"T_HT_anchor",8
"XLOC_046278","PLA2G7",12,12,1,1,0,TRUE,TRUE,0.255733333333333,0.255733333333333,0.0167162931883611,0.0167162931883611,"T_HT_anchor",9
"XLOC_019483","LCMT1",20,13,1,1,0,TRUE,TRUE,0.242266666666667,0.242266666666667,0.000345223859883594,0.000345223859883594,"T_HT_anchor",10
"XLOC_003699","GBP1",29,24,1,1,0,TRUE,TRUE,0.239266666666667,0.239266666666667,0.00721413612273577,0.00721413612273577,"T_HT_anchor",11
"XLOC_023406","CCL3",17,16,2,2,0,TRUE,TRUE,0.234666666666667,0.234666666666667,8.79816410207364e-12,8.79816410207364e-12,"T_HT_anchor",12
"XLOC_034711","CCDC117",7,2,1,1,0,TRUE,TRUE,0.233266666666667,0.233266666666667,0.0390298532625624,0.0390298532625624,"T_HT_anchor",13
"XLOC_021196","COG4",24,14,1,1,0,TRUE,TRUE,0.2253,0.2253,1.84510757520461e-08,1.84510757520461e-08,"T_HT_anchor",14
"XLOC_046969","IPCEF1",22,11,5,4,1,TRUE,TRUE,0.289966666666667,0.2238,1.22955148118921e-36,3.35378564025614e-33,"T_HT_anchor",15
"XLOC_022554","PITPNC1",6,2,2,2,0,TRUE,TRUE,0.221233333333333,0.221233333333333,0.00013537457110165,0.00013537457110165,"T_HT_anchor",16
"XLOC_046933","KATNA1",11,5,1,1,0,TRUE,TRUE,0.214433333333333,0.214433333333333,0.00152554796828384,0.00152554796828384,"T_HT_anchor",17
"XLOC_015588","JDP2",8,2,2,1,1,TRUE,TRUE,0.2092,0.2092,9.98314881050804e-21,9.98314881050804e-21,"T_HT_anchor",18
"XLOC_012799","NEMP1",14,11,1,1,0,TRUE,TRUE,0.2042,0.2042,0.00423988092917687,0.00423988092917687,"T_HT_anchor",19
"XLOC_047802","ZP3",7,2,1,1,0,TRUE,TRUE,0.2027,0.2027,5.3882550244545e-05,5.3882550244545e-05,"T_HT_anchor",20
"XLOC_045300","NCOA7",14,4,3,1,2,TRUE,TRUE,0.652166666666667,0.201666666666667,4.48137893502852e-113,5.03115104159392e-07,"T_HT_anchor",21
"XLOC_003886","TMIGD3",12,5,1,1,0,TRUE,TRUE,0.193933333333333,0.193933333333333,0.0216676112434067,0.0216676112434067,"T_HT_anchor",22
"XLOC_004477","NME7",14,3,1,1,0,TRUE,TRUE,0.1929,0.1929,0.00157583493178867,0.00157583493178867,"T_HT_anchor",23
"XLOC_044269","TMEM170B",2,1,2,1,1,TRUE,TRUE,0.1927,0.1927,0.00832693950627008,0.00878738406448155,"T_HT_anchor",24
