"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_isoforms","min_isoform_switch_q","min_gene_switch_q","max_abs_dif_all_isoforms","max_abs_dif_switching","novel_involved"
"XLOC_000389","CLIC4",6,0,4,0.924212790634739,0.924212790634739,0.0522666666666667,,FALSE
"XLOC_000399","TMEM50A",11,0,7,0.8719938850601,0.8719938850601,0.0105333333333333,,FALSE
"XLOC_000402","LDLRAP1",7,0,0,0.666958479124943,0.666958479124943,0.0221,,FALSE
"XLOC_000404","MAN1C1",8,0,2,0.922205588130856,0.922205588130856,0.108166666666667,,FALSE
"XLOC_000405","SELENON",35,0,15,0.0730412982090193,0.0730412982090193,0.0409,,FALSE
"XLOC_000415","PDIK1L",3,0,0,0.990565872805151,0.990565872805151,0.0633666666666667,,FALSE
"XLOC_000417","ZNF593",2,0,0,0.636056012892333,0.636056012892333,0.00726666666666667,,FALSE
"XLOC_000421","CEP85",13,0,7,0.853732427957438,0.853732427957438,0.1262,,FALSE
"XLOC_000422","SH3BGRL3",7,0,7,0.969553821655179,0.969553821655179,0.0066,,FALSE
"XLOC_000426","DHDDS",26,1,11,0.0366518083333096,0.0366518083333096,0.2991,0.2991,FALSE
"XLOC_000427","HMGN2",18,0,13,5.06657567345962e-26,5.06657567345962e-26,0.111666666666667,,FALSE
"XLOC_000428","RPS6KA1",28,0,12,0.568813190342687,0.568813190342687,0.0294333333333333,,FALSE
"XLOC_000431","ARID1A",11,0,2,0.121940308368124,0.121940308368124,0.0882333333333333,,FALSE
"XLOC_000432","PIGV",16,0,5,0.169699301105578,0.169699301105578,0.1732,,FALSE
"XLOC_000445","WDTC1",4,0,0,0.458494976951997,0.458494976951997,0.0751,,FALSE
"XLOC_000450","SYTL1",11,0,0,0.147830871014854,0.147830871014854,0.203366666666667,,FALSE
"XLOC_000458","FAM76A",6,0,1,0.0591489791848001,0.0591489791848001,0.0658333333333334,,FALSE
"XLOC_000461","STX12",12,0,8,0.377271312538831,0.377271312538831,0.0157333333333333,,FALSE
"XLOC_000465","PPP1R8",9,0,5,0.959222759925081,0.959222759925081,0.0262666666666667,,FALSE
"XLOC_000467","THEMIS2",12,0,6,0.960778285204279,0.960778285204279,0.0542,,FALSE
"XLOC_000474","MED18",5,0,3,0.88810788505925,0.88810788505925,0.0455,,FALSE
"XLOC_000475","PHACTR4",16,0,8,0.218263457956228,0.218263457956228,0.0976,,FALSE
"XLOC_000478","SNHG3",25,0,14,0.476247665509666,0.476247665509666,0.078,,FALSE
"XLOC_000480","TRNAU1AP",13,0,4,0.209389813179791,0.209389813179791,0.146633333333333,,FALSE
"XLOC_000483","GMEB1",7,0,6,0.632698038874719,0.632698038874719,0.0615333333333333,,FALSE
"XLOC_000487","EPB41",22,0,0,0.353131815159561,0.353131815159561,0.0219,,FALSE
"XLOC_000503","ZCCHC17",11,0,5,0.379345792386885,0.379345792386885,0.0796,,FALSE
"XLOC_000510","KHDRBS1",7,0,3,0.185491958216037,0.185491958216037,0.0971666666666667,,FALSE
"XLOC_000511","TMEM39B",8,0,3,0.430280276421371,0.430280276421371,0.139366666666667,,FALSE
"XLOC_000513","KPNA6",6,0,2,0.000253845401070457,0.000253845401070457,0.0693666666666667,,FALSE
"XLOC_000514","TXLNA",4,0,2,0.936357558906574,0.936357558906574,0.102466666666667,,FALSE
"XLOC_000518","EIF3I",44,0,12,0.373173482549629,0.373173482549629,0.0664,,FALSE
"XLOC_000521","HDAC1",20,0,11,0.708571143115715,0.708571143115715,0.128466666666667,,FALSE
"XLOC_000528","RBBP4",31,0,15,0.0259282191741449,0.0259282191741449,0.0701666666666667,,FALSE
