"dataset","n_genes_tested","n_switching","n_cryptic","pct_of_switchers_cryptic","n_genes_dropping","n_rescue","pct_of_dropping_rescue"
"T_UT",9017,118,23,19.4915254237288,2611,19,0.72769054002298
"U_UT",9258,62,18,29.0322580645161,1517,21,1.3843111404087
"T_HT",8153,95,25,26.3157894736842,2680,20,0.746268656716418
"H_HT",6437,169,54,31.9526627218935,1311,38,2.89855072463768
