"direction","n","median_abs_dIF_conditioned","median_abs_dIF_other","pct_same_direction_in_other","pct_passing_min_abs_dif_in_other"
"significant in T -> measured in U",35,0.2108,0.216866666666667,94.2857142857143,65.7142857142857
"significant in U -> measured in T",28,0.26645,0.210016666666667,89.2857142857143,78.5714285714286
