"marker","dataset","n","pct_up","pct_down","odds_ratio","p"
"PTC","T_HT",1454,12.2252747252747,10.6060606060606,1.17380131144623,0.364465838854404
"PTC","H_HT",2942,13.8983050847458,13.4969325153374,1.03453698450255,0.788649110395029
"PTC","U_UT",887,17.0114942528736,14.8230088495575,1.17768541138775,0.408681199790364
"PTC","T_UT",1657,12.9916567342074,10.1466992665037,1.32201946242111,0.0774391885755589
"IR","T_HT",1543,18.4516129032258,17.578125,1.06092799348174,0.691138753942346
"IR","H_HT",3102,21.3872832369942,20.9061488673139,1.02927422507388,0.758331916665899
"IR","U_UT",966,16,16.0896130346232,0.993375932945622,1
"IR","T_UT",1769,17.0022371364653,16.1142857142857,1.06632066054563,0.654420209190927
