"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_isoforms","min_isoform_switch_q","min_gene_switch_q","max_abs_dif_all_isoforms","max_abs_dif_switching","novel_involved"
"XLOC_000205","AGTRAP",16,0,5,0.451677205402468,0.451677205402468,0.0387333333333333,,FALSE
"XLOC_000207","CLCN6",12,0,2,0.139187455524209,0.139187455524209,0.0792,,FALSE
"XLOC_000210","PLOD1",19,0,12,0.586658544358949,0.586658544358949,0.0367333333333333,,FALSE
"XLOC_000211","MFN2",29,0,4,0.0550428539054281,0.0550428539054281,0.0325333333333333,,FALSE
"XLOC_000212","MIIP",7,0,0,0.736932514693161,0.736932514693161,0.0212,,FALSE
"XLOC_000215","TNFRSF1B",3,0,0,0.94652657060839,0.94652657060839,0.00143333333333329,,FALSE
"XLOC_000217","VPS13D",25,0,8,0.000268573462074651,0.000268573462074651,0.112033333333333,,FALSE
"XLOC_000245","PDPN",21,0,20,0.00460881111904317,0.00460881111904317,0.112233333333333,,FALSE
"XLOC_000246","PRDM2",13,0,2,0.399274471190962,0.399274471190962,0.0692333333333333,,FALSE
"XLOC_000248","KAZN",5,0,0,0.94652657060839,0.94652657060839,0.0236666666666667,,FALSE
"XLOC_000249","TMEM51",5,0,1,0.94652657060839,0.94652657060839,0.0446,,FALSE
"XLOC_000252","EFHD2",4,0,2,0.318981977384905,0.318981977384905,0.0423,,FALSE
"XLOC_000255","DNAJC16",11,0,1,0.574287517832407,0.574287517832407,0.092,,FALSE
"XLOC_000258","DDI2",7,0,1,0.665958726594305,0.665958726594305,0.0624,,FALSE
"XLOC_000259","PLEKHM2",8,0,3,0.94652657060839,0.94652657060839,0.023,,FALSE
"XLOC_000262","FBLIM1",7,0,0,0.94652657060839,0.94652657060839,0.0621,,FALSE
"XLOC_000265","SPEN",7,0,3,0.615474808410654,0.615474808410654,0.119633333333333,,FALSE
"XLOC_000275","SZRD1",10,0,2,0.161942542833367,0.161942542833367,0.0154333333333334,,FALSE
"XLOC_000276","NECAP2",18,0,9,0.66784427877962,0.66784427877962,0.0362666666666667,,FALSE
"XLOC_000283","CROCC",11,0,0,0.736936755913164,0.736936755913164,0.0484333333333333,,FALSE
"XLOC_000298","ARHGEF10L",9,0,0,0.810905829796002,0.810905829796002,0.0299666666666667,,FALSE
"XLOC_000310","EMC1-AS1",3,0,1,0.596056179766766,0.596056179766766,0.165466666666667,,FALSE
"XLOC_000311","MRTO4",7,0,5,0.574696583436037,0.574696583436037,0.066,,FALSE
"XLOC_000313","SLC66A1",6,0,0,0.94652657060839,0.94652657060839,0.0083,,FALSE
"XLOC_000315","MICOS10",25,0,8,0.620187353154595,0.620187353154595,0.0165666666666667,,FALSE
"XLOC_000320","OTUD3",2,0,0,0.94652657060839,0.94652657060839,0.0857333333333333,,FALSE
"XLOC_000332","CDA",4,0,3,0.94652657060839,0.94652657060839,0.1655,,FALSE
"XLOC_000333","PINK1",7,0,3,0.94652657060839,0.94652657060839,0.00946666666666662,,FALSE
"XLOC_000344","NBPF3",10,0,0,0.615720388230457,0.615720388230457,0.0794,,FALSE
"XLOC_000350","CELA3B",43,0,9,0.579881125084817,0.579881125084817,0.0243333333333333,,FALSE
"XLOC_000357","ZBTB40",6,0,2,0.595676771671613,0.595676771671613,0.108266666666667,,FALSE
"XLOC_000360","C1QA",12,0,0,0.662895353408123,0.662895353408123,0.0959333333333333,,FALSE
"XLOC_000362","EPHB2",5,0,0,0.644872045016068,0.644872045016068,0.109033333333333,,FALSE
"XLOC_000364","KDM1A",43,0,15,0.556710375054298,0.556710375054298,0.0600666666666667,,FALSE
"XLOC_000372","ZNF436-AS1",8,0,0,0.570942047434295,0.570942047434295,0.155066666666667,,FALSE
"XLOC_000376","RPL11",10,0,7,0.00606928188074324,0.00606928188074324,0.0251,,FALSE
"XLOC_000377","ELOA",20,0,16,3.73147619695714e-05,3.73147619695714e-05,0.0275666666666667,,FALSE
"XLOC_000378","PITHD1",6,0,3,0.94652657060839,0.94652657060839,0.00603333333333333,,FALSE
"XLOC_000379","LYPLA2",11,0,2,0.811783701840594,0.811783701840594,0.0718666666666667,,FALSE
"XLOC_000382","PNRC2",9,0,7,0.590230822323057,0.590230822323057,0.00956666666666661,,FALSE
"XLOC_000387","NIPAL3",9,0,3,0.60815586035983,0.60815586035983,0.0383,,FALSE
"XLOC_000389","RCAN3",9,0,2,0.94652657060839,0.94652657060839,0.0346666666666667,,FALSE
"XLOC_000392","SRRM1",43,0,25,4.16369383177954e-10,4.16369383177954e-10,0.0755,,FALSE
"XLOC_000394","CLIC4",9,0,7,0.24524008892356,0.24524008892356,0.0531666666666667,,FALSE
"XLOC_000404","TMEM50A",9,0,6,0.583814427091213,0.583814427091213,0.0178666666666666,,FALSE
"XLOC_000406","MACO1",9,0,5,0.801047371433311,0.801047371433311,0.0717333333333333,,FALSE
"XLOC_000407","LDLRAP1",7,0,0,0.603682172609889,0.603682172609889,0.0245333333333333,,FALSE
"XLOC_000409","MAN1C1",9,0,2,0.561991003007721,0.561991003007721,0.0508333333333334,,FALSE
"XLOC_000410","SELENON",39,0,17,0.0168712654925709,0.0168712654925709,0.0141666666666667,,FALSE
"XLOC_000420","PDIK1L",4,0,1,0.94652657060839,0.94652657060839,0.024,,FALSE
"XLOC_000426","CEP85",12,0,7,0.697769765268309,0.697769765268309,0.117,,FALSE
"XLOC_000427","SH3BGRL3",4,0,4,0.94652657060839,0.94652657060839,0.0275,,FALSE
"XLOC_000428","CD52",4,0,3,0.00798528315919687,0.00798528315919687,0.0366666666666667,,FALSE
"XLOC_000431","DHDDS",28,0,10,0.596733270680975,0.596733270680975,0.0591333333333333,,FALSE
"XLOC_000432","HMGN2",20,0,16,0.0108210449121959,0.0108210449121959,0.0739666666666666,,FALSE
"XLOC_000433","RPS6KA1",27,0,11,0.144078744693196,0.144078744693196,0.0376666666666667,,FALSE
"XLOC_000436","ARID1A",15,0,2,0.381595879516578,0.381595879516578,0.0821333333333334,,FALSE
"XLOC_000437","PIGV",20,0,5,0.0168308318086896,0.0168308318086896,0.0899666666666667,,FALSE
"XLOC_000440","ZDHHC18",5,0,1,0.599543440759137,0.599543440759137,0.0195333333333333,,FALSE
"XLOC_000443","NUDC",8,0,5,0.94652657060839,0.94652657060839,0.00503333333333333,,FALSE
"XLOC_000446","TRNP1",2,0,0,0.94652657060839,0.94652657060839,0.0565666666666667,,FALSE
"XLOC_000450","WDTC1",4,0,0,0.94652657060839,0.94652657060839,0.0224666666666666,,FALSE
"XLOC_000452","TMEM222",9,0,2,0.94652657060839,0.94652657060839,0.0188666666666667,,FALSE
"XLOC_000455","SYTL1",9,0,0,0.868101154394102,0.868101154394102,0.0123666666666667,,FALSE
"XLOC_000463","FAM76A",6,0,0,0.38599600500645,0.38599600500645,0.223533333333333,,FALSE
"XLOC_000466","STX12",13,0,10,0.797606913304897,0.797606913304897,0.0262666666666667,,FALSE
"XLOC_000470","PPP1R8",8,0,5,0.94652657060839,0.94652657060839,0.0641999999999999,,FALSE
"XLOC_000472","THEMIS2",16,0,10,0.598341561632653,0.598341561632653,0.0337333333333333,,FALSE
"XLOC_000474","XKR8",8,0,0,0.74692031545448,0.74692031545448,0.0467666666666667,,FALSE
"XLOC_000476","ATP5IF1",4,0,2,0.802500031352347,0.802500031352347,0.00430000000000001,,FALSE
"XLOC_000479","MED18",5,0,3,0.587781801250874,0.587781801250874,0.0415333333333333,,FALSE
"XLOC_000480","PHACTR4",14,0,6,0.626295143214623,0.626295143214623,0.0528,,FALSE
"XLOC_000483","RCC1",28,0,16,0.300608800584442,0.300608800584442,0.0420333333333333,,FALSE
"XLOC_000485","TRNAU1AP",15,0,10,0.621513995854423,0.621513995854423,0.0368666666666667,,FALSE
"XLOC_000487","TAF12-DT",5,0,3,7.74470307229467e-06,7.74470307229467e-06,0.542933333333333,,FALSE
"XLOC_000488","GMEB1",5,0,2,0.94652657060839,0.94652657060839,0.0759333333333333,,FALSE
"XLOC_000490","YTHDF2",10,0,3,0.550033981061007,0.550033981061007,0.0481666666666667,,FALSE
"XLOC_000492","EPB41",27,0,0,0.587351988306467,0.587351988306467,0.0788333333333334,,FALSE
"XLOC_000496","PTPRU",7,0,0,0.94652657060839,0.94652657060839,0.135933333333333,,FALSE
"XLOC_000501","MATN1-AS1",5,0,0,0.94652657060839,0.94652657060839,0.0563666666666667,,FALSE
"XLOC_000508","ZCCHC17",20,0,13,4.64779095278848e-08,4.64779095278848e-08,0.0548,,FALSE
"XLOC_000509","SERINC2",3,0,0,0.94652657060839,0.94652657060839,0.0078,,FALSE
"XLOC_000515","KHDRBS1",8,0,4,0.0255077160417881,0.0255077160417881,0.0628333333333334,,FALSE
"XLOC_000516","TMEM39B",13,0,7,0.607630208465082,0.607630208465082,0.035,,FALSE
"XLOC_000518","KPNA6",7,0,2,0.886264439558522,0.886264439558522,0.0146999999999999,,FALSE
"XLOC_000519","TXLNA",4,0,2,0.94652657060839,0.94652657060839,0.0420333333333333,,FALSE
"XLOC_000520","CCDC28B",9,0,2,0.845961934759547,0.845961934759547,0.138133333333333,,FALSE
"XLOC_000521","IQCC",3,0,1,0.94652657060839,0.94652657060839,0.0419333333333333,,FALSE
"XLOC_000523","EIF3I",47,0,11,6.17113798934235e-16,6.17113798934235e-16,0.0084,,FALSE
"XLOC_000526","HDAC1",26,0,17,0.024262941295812,0.024262941295812,0.0275333333333333,,FALSE
"XLOC_000534","RBBP4",32,0,16,0.270124415055575,0.270124415055575,0.0472333333333333,,FALSE
"XLOC_000535","KIAA1522",5,0,0,0.599091909019825,0.599091909019825,0.0453,,FALSE
