"dataset","min_abs_dif","target_snr","recommended_gene_expr_floor","if_sd_at_floor","n_isoforms_total","n_isoforms_below_floor","pct_isoforms_below_floor","n_switching_calls","n_switching_calls_below_floor","pct_switching_calls_below_floor","consensus_floor_applied"
"T_HT",0.15,3,10.0731603998494,0.0476566539600365,148951,19329,12.9767507435331,213,76,35.6807511737089,12
"H_HT",0.15,3,6.02203022009824,0.0428191351306088,128491,6888,5.36068674070557,288,41,14.2361111111111,12
"U_UT",0.15,3,11.963700257082,0.0469006477320672,173016,20840,12.0451287742174,153,74,48.3660130718954,12
"T_UT",0.15,3,20.1630548144325,0.0440359121571836,166394,33009,19.8378547303388,264,155,58.7121212121212,12
