"dataset","gene_name","gene_id","gene_lfc","dom_lfc","minor_lfc","dom_IF1","dom_IF2","gene_expression"
"H_HT","MBD3","XLOC_026849",-0.715343487506565,-0.0145046160471839,-1.35032595206043,0.3709,0.597,365.661407555761
"H_HT","ECI1","XLOC_020369",-0.506575244421332,-0.0931765084640366,-1.17468601453496,0.612566666666667,0.768066666666667,33.6657026413974
"H_HT","SLC10A3","XLOC_056929",-0.50379219776435,-0.0873384829329511,-0.878204455886104,0.4481,0.587,22.1634075149651
"H_HT","ANKRD54","XLOC_035435",-0.503058434403749,-0.0802428755485101,-0.862407679356546,0.461833333333333,0.6412,12.5145513841778
"H_HT","DIP2A","XLOC_033929",-0.48141857558441,-0.0975459103050993,-0.639513773818068,0.3029,0.403,15.9512063417586
"H_HT","CD14","XLOC_043780",-0.462446664315988,-0.0366983781228983,-0.935237423354278,0.467466666666667,0.575033333333333,597.022563411425
"H_HT","CUL9","XLOC_044779",-0.461639637251865,-0.0458463019563056,-0.666226887228275,0.329766666666667,0.445133333333333,16.9496758778862
"H_HT","EXOSC1","XLOC_007201",-0.459409173152467,-0.0623131098562596,-1.01174935246127,0.539966666666667,0.7283,25.2898616969918
"H_HT","SFXN3","XLOC_006100",-0.446466310024711,-0.0867819450997453,-0.629381454816986,0.303433333333333,0.388433333333333,121.692190191037
"H_HT","RPL36","XLOC_025591",-0.439198710048834,-0.0943053500378578,-2.1817196971608,0.733366666666667,0.920966666666667,589.308065060075
"H_HT","SH3D21","XLOC_000576",-0.425574597259398,-0.0476556623232665,-0.54074330510262,0.3126,0.331233333333333,19.2572803347787
"H_HT","BRCC3","XLOC_055812",-0.405211712572372,-0.0865414538873284,-0.630509074347277,0.4024,0.5073,31.7315808484257
"H_HT","SLC9A6","XLOC_055627",-0.398852192766425,0.245323612671205,-0.9162478096196,0.353733333333333,0.5803,22.8418306548822
"H_HT","MTIF3","XLOC_014314",-0.396350253977267,-0.0378216661201041,-0.74461406835802,0.452433333333333,0.577966666666667,45.4528274576118
"H_HT","B4GALT4","XLOC_037941",-0.391183075506708,-0.0160198606044743,-0.639972420078425,0.378533333333333,0.508966666666667,21.0713450065939
"H_HT","SMUG1","XLOC_012724",-0.382190248484179,0.121191527702735,-0.72609675208213,0.348266666666667,0.503766666666667,36.9232332633221
"H_HT","MPI","XLOC_017716",-0.381303509546156,-0.088248288083396,-0.520155081717551,0.333266666666667,0.407366666666667,20.890598410977
"H_HT","PKMYT1","XLOC_020401",-0.374100192097489,-0.0550112201352897,-0.71451503614951,0.5099,0.634333333333333,21.7535113495501
"H_HT","FTSJ1","XLOC_054945",-0.367209869449599,-0.0742845642604185,-0.535171707468578,0.369466666666667,0.470766666666667,21.1763988274982
"H_HT","KAT8","XLOC_019596",-0.366197180825522,-0.0954620153070683,-0.632786287777986,0.473333333333333,0.572933333333333,48.9475147755661
"H_HT","ZADH2","XLOC_025391",-0.365248331504005,0.0758110349854336,-0.672711333065481,0.368966666666667,0.530466666666667,14.6602660837544
"H_HT","AMZ2","XLOC_022573",-0.36310092905788,-0.0805879163321995,-0.552574716555789,0.367966666666667,0.451,124.712085134962
"H_HT","MED4","XLOC_014492",-0.354934078407427,0.0745504880248789,-0.631264384981627,0.3433,0.465633333333333,58.596799243474
"H_HT","CTDSPL","XLOC_035864",-0.35107173769507,-0.0852792415526596,-0.4427618586965,0.305166666666667,0.369666666666667,12.3959437285799
"H_HT","TMEM218","XLOC_010570",-0.350314193101888,-0.0498387577388097,-0.521730798750533,0.360466666666667,0.4375,30.5880715516873
"H_HT","ATG4A","XLOC_055402",-0.347630524179107,0.0476530797475468,-0.688619446066763,0.4331,0.581933333333333,24.7899753821642
"H_HT","GTF2H2C","XLOC_041748",-0.34696157996358,0.0822204147426878,-0.739024791269423,0.442866666666667,0.599833333333333,20.4529135643762
"H_HT","SLC44A2","XLOC_025702",-0.333129021493161,-0.0588695772030013,-0.653982055868631,0.511633333333333,0.601933333333333,150.781200728233
"H_HT","RAD17","XLOC_041744",-0.331486793302712,-0.0728401803738533,-0.510929433436253,0.439033333333333,0.533333333333333,15.4154326765245
"H_HT","P4HTM","XLOC_036011",-0.327199512180741,0.0813635885804376,-0.634116508502993,0.3744,0.507966666666667,57.2833188879675
"H_HT","CDK7","XLOC_041741",-0.323521478228014,-0.0488917915081833,-0.517562174764806,0.393433333333333,0.474533333333333,55.9363450535448
"H_HT","NMRAL1","XLOC_020442",-0.322733765596687,-0.0899558007245985,-0.545971047984732,0.513233333333333,0.6091,17.869963005424
"H_HT","TDRD3","XLOC_013890",-0.321287987749172,-0.0980486252790138,-0.440406048039559,0.3638,0.391566666666667,112.490042076892
"H_HT","POLD3","XLOC_008523",-0.318807896723275,0.136265853673126,-0.596020117603607,0.3321,0.486866666666667,13.9718521445949
"H_HT","SLC49A4","XLOC_036507",-0.316700363362439,0.1425189749259,-0.9323228933188,0.5003,0.700733333333333,25.3732969428982
"H_HT","LEMD2","XLOC_046128",-0.305596491051756,-0.0988407370010984,-0.40791720724437,0.338233333333333,0.391,38.0219709329981
"H_HT","NPRL3","XLOC_020288",-0.303420960245695,-0.0200388272377212,-0.654209997172723,0.5779,0.718033333333333,12.6050421596557
"H_HT","RAE1","XLOC_032701",-0.300570859399149,0.197537231329541,-0.75034582170131,0.410033333333333,0.582066666666667,36.0305662683231
"T_HT","SYS1","XLOC_032569",-0.742061799820797,-0.0392739523880626,-1.33910771773555,0.3676,0.6123,39.4978391841234
"T_HT","TMEM254","XLOC_005913",-0.562332204138144,-0.0653936819904105,-0.791749670555936,0.306266666666667,0.434966666666667,15.4567720573305
"T_HT","METTL14","XLOC_039535",-0.548970269402991,0.0126609576464492,-0.849739316701264,0.313233333333333,0.485533333333333,16.2032105588753
"T_HT","NRF1","XLOC_048199",-0.466525294442405,0.0302994746662509,-0.791837894695651,0.4568,0.524433333333333,19.9372676237227
"T_HT","LINC00869","XLOC_001484",-0.384881115966735,-0.0825612044158392,-0.72401209689175,0.357333333333333,0.4704,40.0403736847582
"T_HT","DEDD2","XLOC_027617",-0.379088618462479,-0.0604867011530986,-0.588251215742977,0.357366666666667,0.446366666666667,229.611263490209
