"gene_name","in_A","in_B","status","pair","dataset_A","dataset_B","A_max_abs_dif","A_expr","B_max_abs_dif","B_expr"
"IFITM3",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0211666666666667,550.709025698269,0.00736666666666667,662.072859853423
"IFNAR1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0458666666666667,115.499273225478,0.0462,128.190923661118
"IFNAR2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0902333333333333,418.567543411063,0.0769333333333333,198.383682305546
"IFNGR1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0683666666666667,375.207078366787,0.0687333333333333,224.380880259301
"IFNGR2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0348333333333334,799.730374309824,0.0890666666666667,517.177328672651
"IKBKE",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.055,140.509912152548,0.0992666666666667,86.2598667204137
"IL12RB1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0817,19.5402196016855,0.238333333333333,6.71516516265458
"IRAK1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0161666666666667,386.388407599783,0.0310666666666667,186.968128525509
"IRF1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0510333333333333,250.691467102555,0.123066666666667,271.395666215384
"IRF3",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0663333333333333,70.7862328621121,0.111533333333333,34.0708426159083
"IRF7",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0933666666666667,79.0675526641859,0.0779333333333334,188.824611064504
"IRF8",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0328666666666667,135.305391259905,0.0544666666666667,125.857118938801
"JAK1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0475,98.6248434279815,0.086,190.003305002647
"JAK2",FALSE,TRUE,"Switching in H_HT only","HT: T vs H","T_HT","H_HT",0.0506333333333333,63.8984640433203,0.1622,76.0581624529961
"KIF5B",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0428333333333333,64.7513614367854,0.1044,179.359178201219
"KYNU",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0231666666666667,674.758194576117,0.0320333333333333,1331.46952925097
"LSM14A",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0555666666666667,115.144387955494,0.0783333333333333,70.0312851549471
"METTL3",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.1098,28.9757774875943,0.0517333333333333,31.1306640707695
"MX1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0641666666666666,393.395585877877,0.0586,1477.48923442626
"MYD88",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0361333333333333,114.330822156691,0.0333666666666667,514.300287107744
"MYO1C",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0558000000000001,15.5335210349681,0.0582333333333333,55.654557040705
"NLRC5",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0553333333333333,39.8277352705853,0.0675666666666666,117.49275880516
"NR1H2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0503333333333333,43.5402743580247,0.0924333333333334,74.9193651341065
"NR1H3",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0580666666666667,71.5177958067356,0.0263,1016.74714571134
"NUB1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0441666666666667,175.949933972759,0.0593333333333333,190.338578971377
"OAS1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0737666666666666,197.242323289073,0.103866666666667,477.768173935724
"OAS2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0691666666666667,172.225024178887,0.0884666666666667,435.994842232622
"OAS3",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0866333333333333,217.292657369792,0.0715666666666667,342.162035403051
"PARP14",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0838666666666667,209.310145276258,0.121266666666667,334.357592730329
"PARP9",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0787,124.492090562253,0.1725,269.280331475616
"PPARG",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.1042,29.4435378848573,0.0838666666666666,98.0233261086363
"PTPN11",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0904333333333333,78.141722656939,0.0837,67.4708642382935
"PTPN2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0511,78.4235020730875,0.0844333333333333,90.371538716021
"PTPN6",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0201666666666667,105.214934502953,0.0531666666666667,710.175645758505
"RAB43",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.06,60.2982376772438,0.186933333333333,74.1621685470099
"RAB7B",TRUE,FALSE,"Switching in T_HT only","HT: T vs H","T_HT","H_HT",0.154033333333333,624.66602370826,0.0370333333333333,661.190486480762
"RAF1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0897,116.105964030314,0.0773666666666667,103.376866210957
"RBM47",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0444333333333333,39.2857654814128,0.0683666666666667,199.515015791947
"SAMHD1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0239,371.811689966475,0.088,733.408423446824
"SETD2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0725666666666667,54.4402053897246,0.113166666666667,33.2786179323782
"SHFL",TRUE,FALSE,"Switching in T_HT only","HT: T vs H","T_HT","H_HT",0.178666666666667,76.1123797295843,0.0296333333333333,92.8931578161464
"SHMT2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0593,118.508984082548,0.0966,95.8935110217153
"SIN3A",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0845,54.0451389044111,0.0917,18.6373237121013
"SIRPA",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0229,245.892277080399,0.1271,504.617907725725
"SLC11A1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.105566666666667,49.938082432211,0.0923333333333333,715.371807646841
"SLC22A5",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0722666666666667,5.2856572658577,0.233733333333333,3.08057564219351
"SLC26A6",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0728333333333333,27.5796038304157,0.0705333333333333,19.7055814263977
"SP100",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0606333333333333,169.422445157332,0.0513666666666667,224.409596968389
"STAT1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.132133333333333,241.335073531863,0.0690333333333333,681.362099064368
"STAT2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0801333333333333,130.985962316964,0.0983,264.412431790208
"STING1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.126633333333333,39.1267928054885,0.0374333333333333,68.1864721987322
"STX4",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0204666666666667,154.829074390512,0.0306666666666666,439.973115514919
"STX8",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0947,15.5762249717543,0.132933333333333,61.4979063039872
"STXBP1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0670333333333333,9.49109552815305,0.1464,18.8270258490289
"STXBP3",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0416,89.1475949830491,0.0856,71.676112165561
"TANK",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0446666666666667,170.908336243314,0.0676666666666667,262.491836086052
"TBK1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0347333333333333,95.8309383694104,0.119466666666667,143.043892338124
"TBKBP1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0660333333333333,13.6575286984109,0.100866666666667,11.8140672920828
"TLR2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0406666666666667,191.620776494464,0.0504333333333333,282.77871879528
"TNF",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0564,125.969766241889,0.0579333333333333,1554.49179845361
"TP53",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0992333333333333,6.12698666658242,0.1744,20.5922016667628
"TRAF3",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0670333333333333,61.1246601012525,0.0562666666666667,43.2640188619553
"TRIM21",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0488666666666667,108.499572400291,0.0232333333333333,192.21387993307
"TRIM41",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0916,22.5201413633511,0.0385333333333333,17.5340517877195
"TRIM56",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0454333333333333,23.4118942536397,0.0590666666666667,32.2698003485525
"TRIM6",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.1524,12.4863435318804,0.0227666666666667,27.7116546755733
"TTLL12",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0278333333333333,50.4372628462799,0.170666666666667,34.4715891351678
"TYK2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0242,399.815483998839,0.0462666666666667,89.9262829226116
"USP18",TRUE,TRUE,"Switching in both","HT: T vs H","T_HT","H_HT",0.164,110.244478678528,0.173066666666667,411.748786122903
"VIM",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0229,1767.03801290302,0.0456666666666667,16106.286746483
"WNT5A",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0649333333333334,8.2713172408824,0.0823,5.66866655450195
"YTHDF3",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0337666666666667,76.1269836923821,0.0804333333333334,104.072587264124
"ZYX",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0224666666666667,1268.60469392818,0.0433,1228.27735409009
