"gene_name","in_A","in_B","status","pair","dataset_A","dataset_B","A_max_abs_dif","A_expr","B_max_abs_dif","B_expr"
"MEFV",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0467333333333333,27.9165305714601,0.0274,16.3820169382775
"METTL3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0697,50.1190291526453,0.0356666666666667,57.7794979137125
"MX1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0828333333333333,558.075166548094,0.0617666666666667,151.247526218845
"MYD88",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.034,163.590615069516,0.0261333333333333,121.47101500701
"MYO1C",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0548000000000001,20.7935437327489,0.0741666666666667,21.5164596718789
"NLRC5",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0710666666666667,54.5444699026657,0.0327,65.4448459411824
"NOS2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0558666666666667,14.7923580699832,0.0390333333333333,27.0990484368767
"NR1H2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0492,57.4171510716231,0.1448,68.5612803959336
"NR1H3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0429333333333333,92.5800256271874,0.0224,55.6573117296569
"NUB1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0353666666666667,258.699860276512,0.0789333333333333,151.153464010994
"OAS1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0585333333333333,311.001223582617,0.0284333333333333,235.348849461846
"OAS2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0539,235.24536491668,0.0783666666666666,183.584838449669
"OAS3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0719666666666666,380.753433732225,0.0432666666666667,478.87117319745
"PARP14",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0891666666666667,310.579522841174,0.0572333333333333,141.881177684834
"PARP9",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0895666666666667,171.377343735027,0.0705333333333333,140.749689801237
"PDE12",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0301333333333333,24.3790486008895,0.0435,23.5119105966673
"PPARG",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.1158,40.103781034835,0.122466666666667,34.2924926860979
"PTPN1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0161666666666667,138.667601468236,0.0478,75.6252897288741
"PTPN11",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0939,105.33024883632,0.109866666666667,76.9379290234147
"PTPN2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0401333333333333,126.369805026344,0.0425333333333333,92.0936216787428
"PTPN6",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0670333333333333,148.70569025083,0.0419666666666667,282.796626010025
"RAB43",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0598666666666667,85.291961238687,0.0289333333333333,84.6143426720903
"RAB7B",TRUE,FALSE,"Switching in T_UT only","UT: WT vs UBL5 KO","T_UT","U_UT",0.1741,714.648076169081,0.0626,194.027001265295
"RAF1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0631666666666667,160.631209895888,0.0637666666666667,146.985999188191
"RBM47",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0731666666666667,42.9180723973314,0.130066666666667,32.1157359417908
"RNF185",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0388000000000001,37.9982572144464,0.0717333333333333,38.307490464879
"SAMHD1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0592,481.661467385925,0.0572,261.202234594133
"SETD2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0449666666666667,80.8944566573193,0.0359666666666667,68.4332450389006
"SHFL",TRUE,FALSE,"Switching in T_UT only","UT: WT vs UBL5 KO","T_UT","U_UT",0.1562,116.347442113845,0.0581666666666667,75.9539341917573
"SHMT2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0560666666666667,163.866405826201,0.0172666666666667,174.391894260056
"SIN3A",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0838333333333333,74.1968951707107,0.0592666666666667,58.150459099695
"SIRPA",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0336,299.661872818112,0.0129666666666667,148.565444836869
"SLC11A1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.138766666666667,58.9817201841738,0.128266666666667,66.2163592637322
"SLC22A5",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0816333333333333,7.19188856971736,0.122766666666667,7.73179597699464
"SLC26A6",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0696,60.720547139958,0.0454666666666667,72.5873849259653
"SMIM30",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0316,61.780085420677,0.0365666666666666,78.3397631171798
"SMPD1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0329666666666666,108.347654947003,0.0187666666666667,67.211390570218
"SP100",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0492666666666667,261.123562004557,0.0245666666666667,171.978074855402
"STAT1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.118233333333333,327.587830783127,0.0283666666666667,428.808289045625
"STAT2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0766,196.110493141521,0.0406,117.018488356146
"STING1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0967333333333333,51.9447113323499,0.0252333333333333,165.317865850708
"STX4",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0447666666666667,220.788132249369,0.0992,172.335540722021
"STX8",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.100233333333333,22.3297322340783,0.0328,34.1896313465097
"STXBP1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0725333333333333,14.4974740491732,0.0368,22.8985820541903
"STXBP3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0523333333333333,122.587649673534,0.0258666666666667,120.7022934256
"STXBP4",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.1439,2.14780628374913,0.105266666666667,3.0801311279422
"TANK",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0744666666666667,243.500641747119,0.280733333333333,119.318680114417
"TBK1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0258333333333333,131.057241642486,0.0917666666666667,156.098760089228
"TBKBP1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0664333333333333,18.1654726424662,0.0224,29.6953197763089
"TLR2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0310666666666667,277.90742383309,0.0264666666666667,120.10894988187
"TLR4",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0584666666666667,46.9476821665913,0.0528666666666666,12.8496168756956
"TNF",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0546,173.807231470433,0.0693666666666667,180.821119673516
"TP53",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0763333333333333,7.18734036062601,0.0566,7.37923577825892
"TRAF3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0601,78.2882211090861,0.0719666666666667,33.4373197362326
"TRIM21",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0536333333333333,148.175964228142,0.0461333333333334,84.7908761759649
"TRIM41",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.049,43.64404008438,0.0247666666666667,57.1112214992924
"TRIM6",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0663666666666667,18.7279247659632,0.130766666666667,13.5719521643461
"TRIM65",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0879,21.3771117410794,0.0444333333333333,23.9632367841443
"TTLL12",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0257333333333333,67.965119736753,0.103433333333333,92.5874102899665
"TYK2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0377666666666666,544.542496798173,0.0237666666666667,318.571368974083
"UBE2K",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.048,123.363355133516,0.0491,113.993944133885
"USP18",TRUE,FALSE,"Switching in T_UT only","UT: WT vs UBL5 KO","T_UT","U_UT",0.165566666666667,152.059860370015,0.0384,148.575123034374
"VAMP3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0308666666666667,61.5058511141362,0.0584666666666667,89.8702148525254
"VIM",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0236666666666667,2423.91213366231,0.0335666666666666,1378.99784672692
"VPS26B",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0598000000000001,36.1797326535155,0.0126666666666667,58.4977347683231
"WAS",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.00656666666666667,116.350714386852,0.0347666666666667,86.9742029893071
"YTHDF2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0351666666666667,164.093892351388,0.0481666666666667,142.47526543263
"YTHDF3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0357666666666667,103.331978147374,0.0234,108.035409407727
"ZYX",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0230333333333333,1726.05856814891,0.00996666666666668,1157.30048104936
