"threshold","matched_on","compared","n","median_WT","median_KO","ratio_KO_over_WT","paired_p","note"
1.5,"expression","splicing",1404,0.630431778545313,0.289795092423451,0.459677164580975,5.56824286891331e-14,"Deficits in both directions are expected from regression to the mean; the ASYMMETRY is the signal."
1.5,"splicing","expression",306,2.60588687342885,2.03553053443783,0.781127743952854,2.15985231296539e-06,"Deficits in both directions are expected from regression to the mean; the ASYMMETRY is the signal."
2,"expression","splicing",1044,0.602946725077173,0.293532042780661,0.486829151851004,4.08946044769565e-09,"Deficits in both directions are expected from regression to the mean; the ASYMMETRY is the signal."
2,"splicing","expression",148,3.12767014149398,1.96862650409082,0.629422674077286,2.54750665832907e-07,"Deficits in both directions are expected from regression to the mean; the ASYMMETRY is the signal."
2.5,"expression","splicing",614,0.671572037412636,0.292385481335955,0.435374710451657,2.81403797396224e-06,"Deficits in both directions are expected from regression to the mean; the ASYMMETRY is the signal."
2.5,"splicing","expression",66,3.10404306462125,1.77845305397812,0.572947287442072,0.00017697305509411,"Deficits in both directions are expected from regression to the mean; the ASYMMETRY is the signal."
