"gene_name","overlap_class","T_gene_id","U_gene_id","T_n_switching","U_n_switching","T_max_abs_dif","U_max_abs_dif","delta_max_abs_dif","T_min_q","U_min_q","T_novel_involved","U_novel_involved","T_opposing","U_opposing","T_rank","U_rank"
"RNASEH1","T-only","XLOC_030331",,2,,0.119533333333333,,,5.07758077051243e-07,,TRUE,,TRUE,,85,
"MEF2D","T-only","XLOC_004323",,2,,0.118766666666667,,,5.73768289743918e-07,,FALSE,,TRUE,,86,
"SPTAN1","T-only","XLOC_053633",,1,,0.1168,,,0.0029767228266673,,TRUE,,FALSE,,225,
"TBC1D14","T-only","XLOC_038994",,1,,0.116066666666667,,,0.0226918197045692,,FALSE,,FALSE,,226,
"CBX4","T-only","XLOC_024301",,2,,0.115866666666667,,,0.000902625558613871,,FALSE,,TRUE,,87,
"SNX8","T-only","XLOC_048934",,1,,0.115633333333333,,,0.0315091484655929,,FALSE,,FALSE,,227,
"RAMAC","T-only","XLOC_017966",,1,,0.113833333333333,,,0.0143661480588305,,FALSE,,FALSE,,228,
"FAM174B","T-only","XLOC_019116",,1,,0.113333333333333,,,0.0486765493792115,,FALSE,,FALSE,,229,
"DHX58","T-only","XLOC_023727",,2,,0.1133,,,0.000361141719832787,,FALSE,,FALSE,,230,
"ZBTB10","T-only","XLOC_050944",,1,,0.113233333333333,,,0.0103806003112376,,TRUE,,FALSE,,231,
"GNAI1","T-only","XLOC_048143",,1,,0.111633333333333,,,0.00334583542344979,,FALSE,,FALSE,,232,
"ARHGAP12","T-only","XLOC_006710",,1,,0.110966666666667,,,0.00339850334308655,,FALSE,,FALSE,,233,
"TRIM22","T-only","XLOC_007698",,3,,0.108366666666667,,,9.6671648766859e-05,,TRUE,,FALSE,,234,
"SPECC1","T-only","XLOC_021939",,1,,0.107333333333333,,,0.0010670690369897,,FALSE,,FALSE,,235,
"CCDC82","T-only","XLOC_010320",,2,,0.106833333333333,,,9.63755640910023e-09,,TRUE,,TRUE,,88,
"LCMT1","T-only","XLOC_019624",,1,,0.106366666666667,,,0.0182960269500713,,TRUE,,FALSE,,236,
"PHLDA1","T-only","XLOC_013055",,2,,0.106166666666667,,,0.00721058541688129,,TRUE,,TRUE,,89,
"MOB1B","T-only","XLOC_039462",,2,,0.1061,,,0.000160154721270925,,TRUE,,TRUE,,90,
"TMX4","T-only","XLOC_033100",,1,,0.105866666666667,,,0.00168860608028203,,TRUE,,FALSE,,237,
"ZFYVE1","T-only","XLOC_016653",,1,,0.105833333333333,,,2.59408465201258e-07,,FALSE,,FALSE,,238,
"RPL23AP7","T-only","XLOC_031341",,1,,0.105733333333333,,,0.0460936709963483,,TRUE,,FALSE,,239,
"WDR37","T-only","XLOC_005288",,1,,0.105133333333333,,,0.000276896081710409,,TRUE,,FALSE,,240,
"HDDC3","T-only","XLOC_019100",,1,,0.104766666666667,,,0.00146290970979791,,FALSE,,FALSE,,241,
"ZNF845","T-only","XLOC_026744",,1,,0.1037,,,0.0320296128345626,,FALSE,,FALSE,,243,
"PEMT","T-only","XLOC_023267",,1,,0.102833333333333,,,0.0147820178329314,,FALSE,,FALSE,,244,
"NPIPA9","T-only","XLOC_020738",,2,,0.102633333333333,,,0.000213749462899874,,TRUE,,FALSE,,245,
"PAFAH1B1","T-only","XLOC_021625",,2,,0.1017,,,0.00963454938092339,,TRUE,,TRUE,,91,
"TPST1","T-only","XLOC_048013",,1,,0.101166666666667,,,0.0329961123902529,,TRUE,,FALSE,,246,
"AP3M1","T-only","XLOC_007034",,1,,0.100233333333333,,,0.00257077578607953,,TRUE,,FALSE,,247,
"RNF141","T-only","XLOC_009388",,1,,0.100166666666667,,,0.0211251990509736,,FALSE,,FALSE,,248,
"CCDC153","U-only",,"XLOC_010543",,1,,0.527466666666667,,,2.30254485771752e-05,,TRUE,,FALSE,,47
"FSTL3","U-only",,"XLOC_025627",,2,,0.437166666666667,,,1.78021485105411e-13,,FALSE,,TRUE,,3
"TAF12-DT","U-only",,"XLOC_000487",,1,,0.395266666666667,,,0.000853508550299683,,TRUE,,FALSE,,49
"SBNO1-AS1","U-only",,"XLOC_012026",,1,,0.374366666666667,,,3.85469275028443e-05,,FALSE,,FALSE,,50
"LINC00115","U-only",,"XLOC_002721",,1,,0.360066666666667,,,8.85676458418919e-09,,FALSE,,FALSE,,51
"CASP6","U-only",,"XLOC_041014",,2,,0.3327,,,0.000151037124820606,,FALSE,,TRUE,,7
"PALS2","U-only",,"XLOC_047614",,1,,0.3279,,,1.27066255539837e-14,,TRUE,,FALSE,,52
"AQP9","U-only",,"XLOC_017653",,3,,0.324266666666667,,,1.67492245634786e-08,,TRUE,,TRUE,,8
"IQCN","U-only",,"XLOC_027400",,1,,0.3154,,,0.00351235648299829,,TRUE,,FALSE,,54
"PBX3","U-only",,"XLOC_053589",,2,,0.309466666666667,,,7.40046585134206e-19,,TRUE,,TRUE,,10
"SPECC1L","U-only",,"XLOC_034870",,4,,0.307266666666667,,,1.85667411430426e-14,,TRUE,,TRUE,,12
"FOLR2","U-only",,"XLOC_008528",,1,,0.285033333333333,,,0.000173530444491266,,TRUE,,FALSE,,55
"ERO1B","U-only",,"XLOC_005152",,1,,0.278433333333333,,,1.0520330536767e-06,,FALSE,,FALSE,,57
"CEP104","U-only",,"XLOC_002795",,1,,0.274566666666667,,,0.0128149126426634,,FALSE,,FALSE,,58
"CHST10","U-only",,"XLOC_031217",,2,,0.267866666666667,,,0.00051192209405217,,TRUE,,TRUE,,15
"RHOF","U-only",,"XLOC_013451",,2,,0.266533333333333,,,0.00103779895997685,,FALSE,,TRUE,,16
"PELO","U-only",,"XLOC_041899",,2,,0.265833333333333,,,1.91570211182295e-09,,TRUE,,TRUE,,17
"MIPEPP3","U-only",,"XLOC_013667",,1,,0.258133333333333,,,0.0111525154795866,,TRUE,,FALSE,,59
"ANG","U-only",,"XLOC_015074",,1,,0.256666666666667,,,0.000307541401859373,,FALSE,,FALSE,,60
"CGREF1","U-only",,"XLOC_030529",,1,,0.239333333333333,,,0.00351235648299829,,FALSE,,FALSE,,61
"ZP3","U-only",,"XLOC_048112",,1,,0.238066666666667,,,0.00732965381213103,,FALSE,,FALSE,,62
"TFAP2A","U-only",,"XLOC_046060",,1,,0.235266666666667,,,0.0449115888992504,,FALSE,,FALSE,,63
"H3C12","U-only",,"XLOC_046223",,1,,0.227333333333333,,,0.0028768130750744,,FALSE,,FALSE,,65
"TRIM38","U-only",,"XLOC_044683",,1,,0.220533333333333,,,0.00432056512243978,,TRUE,,FALSE,,67
"UBE3D","U-only",,"XLOC_046790",,2,,0.2177,,,2.45295282010082e-05,,TRUE,,TRUE,,20
"LAMA2","U-only",,"XLOC_045617",,1,,0.2125,,,0.00157608643914961,,TRUE,,FALSE,,69
"FIGNL1","U-only",,"XLOC_049326",,2,,0.2121,,,0.00874629454924249,,FALSE,,TRUE,,21
"TPD52L1","U-only",,"XLOC_045589",,1,,0.211333333333333,,,0.0034904596606769,,FALSE,,FALSE,,70
"SLC29A3","U-only",,"XLOC_005858",,1,,0.2036,,,0.00034838713450153,,TRUE,,FALSE,,71
"ETFBKMT","U-only",,"XLOC_011077",,1,,0.203133333333333,,,0.0229169201779544,,TRUE,,FALSE,,72
"LINC02541","U-only",,"XLOC_046987",,1,,0.202533333333333,,,7.96424323419143e-06,,TRUE,,FALSE,,73
"USP35","U-only",,"XLOC_008629",,1,,0.199366666666667,,,0.000191363543156514,,FALSE,,FALSE,,75
"WDR48","U-only",,"XLOC_036091",,2,,0.1976,,,3.16984236366862e-18,,TRUE,,TRUE,,23
"TNFRSF10A","U-only",,"XLOC_051707",,1,,0.1966,,,9.78573323281795e-06,,FALSE,,FALSE,,76
"FSD1L","U-only",,"XLOC_053451",,1,,0.193933333333333,,,0.00576110899841558,,FALSE,,FALSE,,77
"OLMALINC","U-only",,"XLOC_006137",,3,,0.191,,,2.00115375660898e-05,,TRUE,,TRUE,,24
"SBF2","U-only",,"XLOC_009382",,1,,0.189266666666667,,,0.0174376471160519,,TRUE,,FALSE,,78
"FAM216A","U-only",,"XLOC_011856",,1,,0.1887,,,6.04810516151594e-08,,TRUE,,FALSE,,79
"STN1","U-only",,"XLOC_007337",,1,,0.184633333333333,,,0.000165768245659979,,TRUE,,FALSE,,80
"ENTPD5","U-only",,"XLOC_016675",,2,,0.1796,,,1.06068307262071e-07,,TRUE,,TRUE,,26
"ISLR","U-only",,"XLOC_017830",,1,,0.177833333333333,,,0.0343799709963274,,TRUE,,FALSE,,82
"P2RY8","U-only",,"XLOC_056164",,2,,0.1769,,,1.0386661745288e-07,,FALSE,,TRUE,,27
"P2RY8","U-only",,"XLOC_057581",,2,,0.1769,,,1.0386661745288e-07,,FALSE,,TRUE,,28
"GBP1P1","U-only",,"XLOC_001093",,1,,0.1768,,,0.0209434200042643,,TRUE,,FALSE,,83
"CBR3","U-only",,"XLOC_033984",,2,,0.175933333333333,,,0.0175434358624711,,TRUE,,TRUE,,29
"KBTBD7","U-only",,"XLOC_014548",,1,,0.1731,,,3.72679269627921e-06,,TRUE,,FALSE,,84
"NOTCH2NLC","U-only",,"XLOC_001497",,1,,0.172033333333333,,,0.00394440764347633,,TRUE,,FALSE,,85
"PSD3","U-only",,"XLOC_051668",,3,,0.171466666666667,,,8.72260294219053e-05,,TRUE,,TRUE,,30
"TLX1","U-only",,"XLOC_006149",,1,,0.166933333333333,,,2.15923464204543e-06,,FALSE,,FALSE,,86
"NET1","U-only",,"XLOC_005330",,2,,0.1665,,,0.0302548864782146,,FALSE,,TRUE,,31
"GALC","U-only",,"XLOC_016784",,1,,0.166,,,0.0475164612197171,,FALSE,,FALSE,,87
"NUPR1","U-only",,"XLOC_020854",,1,,0.165966666666667,,,0.00385695661216565,,TRUE,,FALSE,,88
"NEPRO-AS1","U-only",,"XLOC_036631",,1,,0.1615,,,0.0133925189266396,,FALSE,,FALSE,,89
"RASSF5","U-only",,"XLOC_002245",,2,,0.159566666666667,,,1.11774481394504e-10,,FALSE,,TRUE,,33
"PIP5KL1","U-only",,"XLOC_054753",,1,,0.157866666666667,,,0.00838322960872709,,FALSE,,FALSE,,91
"IFT81","U-only",,"XLOC_011852",,2,,0.157733333333333,,,0.041857681292763,,TRUE,,TRUE,,34
"PHIP","U-only",,"XLOC_046759",,2,,0.1562,,,0.014410009283768,,TRUE,,TRUE,,35
"SLC43A2","U-only",,"XLOC_022990",,1,,0.1561,,,2.96573636400851e-07,,FALSE,,FALSE,,92
"RPL22P1","U-only",,"XLOC_038616",,2,,0.155666666666667,,,0.000246680512369658,,TRUE,,TRUE,,36
"MRPL14","U-only",,"XLOC_046559",,1,,0.1482,,,1.17418614142373e-19,,TRUE,,FALSE,,95
"NXPE3","U-only",,"XLOC_036566",,5,,0.145766666666667,,,1.22319290635195e-14,,TRUE,,TRUE,,37
"SPATA5L1","U-only",,"XLOC_017541",,2,,0.1444,,,0.00285735176556711,,TRUE,,FALSE,,97
"TMEM38B","U-only",,"XLOC_053456",,2,,0.1405,,,1.35225990951788e-15,,FALSE,,TRUE,,38
"UROS","U-only",,"XLOC_007479",,1,,0.1368,,,0.000345449923346024,,FALSE,,FALSE,,100
"APOO","U-only",,"XLOC_056300",,1,,0.1364,,,4.84080778984245e-11,,FALSE,,FALSE,,101
"TADA2A","U-only",,"XLOC_022219",,1,,0.136333333333333,,,0.000722877723886505,,TRUE,,FALSE,,102
"NRSN1","U-only",,"XLOC_044652",,1,,0.1363,,,0.00104016211929275,,TRUE,,FALSE,,103
"HACL1","U-only",,"XLOC_037485",,1,,0.133833333333333,,,0.000360843131633716,,TRUE,,FALSE,,105
"MRI1","U-only",,"XLOC_025951",,1,,0.1299,,,0.0439427891434165,,FALSE,,FALSE,,106
"TRG-AS1","U-only",,"XLOC_047741",,1,,0.127233333333333,,,0.0189987856432374,,FALSE,,FALSE,,107
"FCAR","U-only",,"XLOC_026851",,1,,0.125633333333333,,,0.00145814353464832,,FALSE,,FALSE,,108
"TWNK","U-only",,"XLOC_006145",,1,,0.1256,,,0.000580566103924503,,FALSE,,FALSE,,109
"NAB1","U-only",,"XLOC_029802",,1,,0.125333333333333,,,0.0115126038942418,,TRUE,,FALSE,,110
"RAP2C","U-only",,"XLOC_057057",,1,,0.121566666666667,,,8.45770181898657e-06,,FALSE,,FALSE,,111
"H2AW","U-only",,"XLOC_005046",,2,,0.120533333333333,,,0.000238168287789761,,TRUE,,TRUE,,41
"WASF2","U-only",,"XLOC_003125",,1,,0.120233333333333,,,0.021401944117729,,TRUE,,FALSE,,112
"SLC36A1","U-only",,"XLOC_042704",,1,,0.1202,,,0.0449115888992504,,FALSE,,FALSE,,113
"BCL11A","U-only",,"XLOC_030783",,1,,0.119766666666667,,,0.00491071332414216,,FALSE,,FALSE,,114
"GUCY1B1","U-only",,"XLOC_040024",,1,,0.1189,,,0.00434419163544725,,FALSE,,FALSE,,115
"WDSUB1","U-only",,"XLOC_031650",,1,,0.118033333333333,,,0.0140014320173363,,TRUE,,FALSE,,116
"POLR3H","U-only",,"XLOC_035703",,1,,0.117366666666667,,,0.000770229846171572,,TRUE,,FALSE,,117
"SLC11A1","U-only",,"XLOC_030040",,2,,0.117,,,0.0095241455619334,,FALSE,,FALSE,,118
"AP4B1","U-only",,"XLOC_003947",,2,,0.1159,,,0.0229892457814974,,TRUE,,TRUE,,42
"GS1-124K5.4","U-only",,"XLOC_048015",,1,,0.1156,,,1.36017506760869e-06,,TRUE,,FALSE,,119
"ZNF232","U-only",,"XLOC_023081",,2,,0.1155,,,0.000252034537262532,,TRUE,,TRUE,,43
"PTGES3P1","U-only",,"XLOC_003728",,3,,0.1134,,,0.000765981171752436,,TRUE,,TRUE,,44
"PLEKHN1","U-only",,"XLOC_000044",,1,,0.110633333333333,,,0.0463109063001286,,FALSE,,FALSE,,121
"LINC01060","U-only",,"XLOC_040226",,2,,0.110533333333333,,,0.00271177078826354,,FALSE,,TRUE,,45
"TRMT5","U-only",,"XLOC_016521",,1,,0.108033333333333,,,0.000935919495501593,,TRUE,,FALSE,,122
"CD180","U-only",,"XLOC_043484",,2,,0.105966666666667,,,0.00264431794418855,,TRUE,,TRUE,,46
"TANGO2","U-only",,"XLOC_034674",,1,,0.105866666666667,,,0.0402810827001302,,FALSE,,FALSE,,123
"MCOLN2","U-only",,"XLOC_003695",,1,,0.105566666666667,,,9.17624772376985e-05,,TRUE,,FALSE,,124
"PROCA1","U-only",,"XLOC_023416",,1,,0.103666666666667,,,0.0282331563617409,,FALSE,,FALSE,,126
"VWA5A","U-only",,"XLOC_009033",,1,,0.1027,,,0.000171130255773441,,TRUE,,FALSE,,127
