"gene_name","overlap_class","T_gene_id","U_gene_id","T_n_switching","U_n_switching","T_max_abs_dif","U_max_abs_dif","delta_max_abs_dif","T_min_q","U_min_q","T_novel_involved","U_novel_involved","T_opposing","U_opposing","T_rank","U_rank"
"TLCD5","T-only","XLOC_008996",,2,,0.403066666666667,,,0.011825786020886,,FALSE,,TRUE,,6,
"NDUFA4L2","T-only","XLOC_012884",,1,,0.383833333333333,,,0.0376171046007322,,FALSE,,FALSE,,98,
"KLK1","T-only","XLOC_028013",,2,,0.369333333333333,,,0.000693672314573448,,TRUE,,TRUE,,7,
"ZSCAN9","T-only","XLOC_044771",,1,,0.361166666666667,,,0.00271792259447101,,TRUE,,FALSE,,99,
"DNAJC18","T-only","XLOC_044051",,1,,0.343833333333333,,,0.0347083546201711,,FALSE,,FALSE,,100,
"RSAD2","T-only","XLOC_028291",,3,,0.3374,,,1.19707698783538e-09,,FALSE,,TRUE,,9,
"CEBPE","T-only","XLOC_016207",,2,,0.307833333333333,,,3.8268533871402e-08,,FALSE,,TRUE,,12,
"TTC39A","T-only","XLOC_003446",,1,,0.306466666666667,,,0.00289076514057722,,TRUE,,FALSE,,103,
"SIGLEC9","T-only","XLOC_026685",,1,,0.305266666666667,,,0.0141627425392761,,TRUE,,FALSE,,105,
"CRYZ","T-only","XLOC_003639",,1,,0.300133333333333,,,2.65498176001945e-06,,TRUE,,FALSE,,106,
"KITLG","T-only","XLOC_013120",,1,,0.2996,,,0.000207521903033161,,FALSE,,FALSE,,107,
"SLC27A2","T-only","XLOC_017584",,1,,0.299266666666667,,,0.0261078429542005,,TRUE,,FALSE,,108,
"TMEM79","T-only","XLOC_001687",,1,,0.293766666666667,,,0.0241419353695401,,FALSE,,FALSE,,109,
"OR7E7P","T-only","XLOC_049699",,1,,0.292833333333333,,,0.0120880448709209,,TRUE,,FALSE,,110,
"CAMKMT","T-only","XLOC_028608",,1,,0.290133333333333,,,0.0183387363415192,,TRUE,,FALSE,,111,
"IFITM2","T-only","XLOC_007559",,3,,0.289466666666667,,,9.84462106803533e-89,,TRUE,,TRUE,,14,
"PLA2G12A","T-only","XLOC_041015",,1,,0.289,,,0.0236927532316061,,TRUE,,FALSE,,112,
"SH3BGRL2","T-only","XLOC_045291",,2,,0.288633333333333,,,1.08013110527317e-06,,TRUE,,TRUE,,15,
"RADIL","T-only","XLOC_048950",,1,,0.288133333333333,,,0.000266868640882149,,FALSE,,FALSE,,113,
"TOPORS","T-only","XLOC_054002",,4,,0.2854,,,1.03910573457335e-32,,TRUE,,TRUE,,16,
"SH3D19","T-only","XLOC_041265",,2,,0.284833333333333,,,0.00096572244725111,,FALSE,,TRUE,,17,
"HR","T-only","XLOC_051685",,1,,0.280433333333333,,,0.0211251990509736,,FALSE,,FALSE,,114,
"GFPT2","T-only","XLOC_044425",,2,,0.279833333333333,,,5.84450475090343e-05,,TRUE,,TRUE,,18,
"TFPI2","T-only","XLOC_049673",,1,,0.2711,,,4.43055467765093e-09,,TRUE,,FALSE,,116,
"TIMP3","T-only","XLOC_034994",,2,,0.269066666666667,,,8.54474554849503e-40,,TRUE,,TRUE,,20,
"MRPL39","T-only","XLOC_034300",,2,,0.2652,,,0.0075214963354771,,TRUE,,TRUE,,21,
"CD2BP2-DT","T-only","XLOC_019702",,1,,0.2649,,,0.0112500400855658,,FALSE,,FALSE,,117,
"FUT8-AS1","T-only","XLOC_016570",,1,,0.261633333333333,,,0.00226910557949053,,TRUE,,FALSE,,118,
"RIN3","T-only","XLOC_015829",,4,,0.261433333333333,,,0.00108793886458013,,FALSE,,TRUE,,22,
"H2BC20P","T-only","XLOC_004150",,1,,0.261333333333333,,,5.55559210699132e-05,,TRUE,,FALSE,,119,
"AMN1","T-only","XLOC_012538",,2,,0.250666666666667,,,9.4558189929635e-07,,TRUE,,TRUE,,24,
"SYT3","T-only","XLOC_028007",,2,,0.2483,,,0.00469554652909407,,FALSE,,TRUE,,26,
"YOD1","T-only","XLOC_004846",,1,,0.248266666666667,,,0.0278410367414453,,FALSE,,FALSE,,120,
"INAFM1","T-only","XLOC_026575",,2,,0.247366666666667,,,0.0323249159632635,,TRUE,,TRUE,,27,
"TXNL4B","T-only","XLOC_021363",,2,,0.246633333333333,,,0.00196818748141227,,TRUE,,TRUE,,28,
"PDE4DIPP2","T-only","XLOC_004026",,1,,0.244266666666667,,,0.0118984300594298,,TRUE,,FALSE,,121,
"SNX30","T-only","XLOC_053493",,2,,0.2442,,,2.0644311882522e-05,,FALSE,,TRUE,,30,
