"rank","gene_name","dif_rank","lfc_rank","visibility","called_in","annotation_robust","cross_genotype_support","dif_anchor","dif_reannot","dif_cross","lfc_anchor","lfc_reannot","expr_anchor","n_iso_anchor","switches_anchor","switches_reannot","testable_reannot","switches_cross","testable_cross"
90,"CHST15",0.1762,-0.507152081140711,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.1762,,-0.53272984714871,-0.507152081140711,,,FALSE,TRUE,TRUE,FALSE,TRUE
91,"IFIT3",0.176166666666667,5.85950838976143,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.176166666666667,,,5.85950838976143,6.04987815473611,287.306852410577,2,TRUE,FALSE,TRUE,FALSE,TRUE
92,"HELZ",0.1757,0.259491820808759,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.1757,,,0.259491820808759,0.35221282242508,13.8018041271788,1,TRUE,FALSE,TRUE,FALSE,TRUE
93,"MMS22L",0.175433333333333,-0.391204309538214,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.175433333333333,,,-0.391204309538214,,,FALSE,TRUE,TRUE,FALSE,FALSE
94,"CBWD3",0.175133333333333,0.164777128518921,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in H_HT, not switching",0.175133333333333,,,0.164777128518921,0.258657676557862,19.1191132039153,1,TRUE,FALSE,TRUE,FALSE,TRUE
95,"MEIKIN",0.175133333333333,-0.661692247229186,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.175133333333333,,,-0.661692247229186,,,FALSE,TRUE,TRUE,FALSE,TRUE
96,"ACP3",0.1734,-0.152352129126635,"cryptic (DE would miss it)","both annotations",TRUE,"not testable in H_HT",0.1734,0.1536,,-0.152352129126635,-0.0942281405673972,152.434607472488,1,TRUE,TRUE,TRUE,FALSE,FALSE
97,"ALOX5",0.172233333333333,-1.09078030716755,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.172233333333333,,-1.05351943378654,-1.09078030716755,,,FALSE,TRUE,TRUE,FALSE,TRUE
98,"MGAT4A",0.171233333333333,-1.70743927969649,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.171233333333333,,-1.63461136917038,-1.70743927969649,,,FALSE,TRUE,TRUE,FALSE,TRUE
99,"EVI2B",0.1712,-1.87489901854276,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.1712,0.153266666666667,,-1.87489901854276,-1.76287317655178,119.273113913935,1,TRUE,TRUE,TRUE,FALSE,TRUE
100,"SOX5",0.170966666666667,0.943508114638087,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.170966666666667,,,0.943508114638087,,,FALSE,TRUE,TRUE,FALSE,FALSE
101,"DCUN1D4",0.1706,0.214604991187694,"cryptic (DE would miss it)","T_UT only",FALSE,"not testable in H_HT",,0.1706,,0.170585875023434,0.214604991187694,,,FALSE,TRUE,TRUE,FALSE,FALSE
102,"WDR33",0.170533333333333,0.0606222138406542,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in H_HT, not switching",0.170533333333333,,,0.0606222138406542,0.350295400185611,28.1318912851854,1,TRUE,FALSE,TRUE,FALSE,TRUE
103,"MPZL1",0.1692,1.28464788998851,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.1692,,,1.28464788998851,1.42166317745595,33.4922363833493,1,TRUE,FALSE,TRUE,FALSE,TRUE
104,"ZNF674-AS1",0.169133333333333,2.02372074222655,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.169133333333333,,1.94346977085898,2.02372074222655,,,FALSE,TRUE,TRUE,FALSE,FALSE
105,"RTN4RL2",0.168633333333333,0.263749247690554,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.168633333333333,,,0.263749247690554,,,FALSE,TRUE,TRUE,FALSE,FALSE
106,"ZNF521",0.1685,-0.885812907358286,"also changes expression","T_HT only",FALSE,"not testable in H_HT",0.1685,,,-0.885812907358286,-1.01051137816348,17.2999802000866,1,TRUE,FALSE,TRUE,FALSE,FALSE
107,"LGALS8",0.168433333333333,0.290563783459289,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.168433333333333,,0.0929046499824308,0.290563783459289,,,FALSE,TRUE,TRUE,FALSE,TRUE
108,"SEC14L2",0.1682,0.749984615491914,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.1682,,0.612099432852754,0.749984615491914,,,FALSE,TRUE,TRUE,FALSE,TRUE
109,"BCL7B",0.168033333333333,-0.378513224604247,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.168033333333333,,-0.44791609790442,-0.378513224604247,,,FALSE,TRUE,TRUE,FALSE,TRUE
110,"MERTK",0.167566666666667,-2.73851351784741,"also changes expression","both annotations",TRUE,"also switches in H_HT",0.167566666666667,0.172866666666667,0.263466666666667,-2.73851351784741,-2.75059088514714,46.4078068995812,1,TRUE,TRUE,TRUE,TRUE,TRUE
111,"ST3GAL6",0.166866666666667,-0.353914670862358,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.166866666666667,,,-0.353914670862358,-0.304782420880464,26.4617331044754,1,TRUE,FALSE,TRUE,FALSE,TRUE
112,"GTF3C6",0.166866666666667,0.182198259278513,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in H_HT, not switching",0.166866666666667,,,0.182198259278513,0.285017221051725,280.838963311512,2,TRUE,FALSE,TRUE,FALSE,TRUE
113,"TTC38",0.166766666666667,0.756045782340017,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.166766666666667,0.164733333333333,,0.756045782340017,0.843077495264668,18.3208633521362,1,TRUE,TRUE,TRUE,FALSE,TRUE
114,"SYNJ2",0.1659,0.499138532811036,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.1659,0.180266666666667,,0.499138532811036,0.633983014866274,44.6208021777951,1,TRUE,TRUE,TRUE,FALSE,TRUE
115,"SORT1",0.165833333333333,-0.0740701365595194,"cryptic (DE would miss it)","T_UT only",FALSE,"tested in H_HT, not switching",,0.165833333333333,,-0.228005766083355,-0.0740701365595194,,,FALSE,TRUE,TRUE,FALSE,TRUE
116,"PALM2AKAP2",0.165433333333333,2.81693455635452,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.165433333333333,,,2.81693455635452,2.94920998339467,66.1675448443691,1,TRUE,FALSE,TRUE,FALSE,TRUE
