"dataset","gene_name","gene_id","gene_lfc","max_abs_dif","gene_expression"
"H_HT","IER2","XLOC_025784",-0.0292383902529698,0.438933333333333,115.829815722199
"H_HT","MSH6","XLOC_028473",-0.194018093639869,0.356166666666667,13.5779587250541
"H_HT","UBFD1","XLOC_019460",0.0463635640328622,0.354966666666667,13.6952594811092
"H_HT","MBIP","XLOC_016209",-0.114893075356801,0.3144,15.0069651703681
"H_HT","CCZ1","XLOC_047183",0.0924595478464966,0.3038,100.030380638067
"H_HT","DHDDS","XLOC_000426",-0.0864396335688618,0.2991,41.6643463106628
"H_HT","TNFAIP1","XLOC_021883",0.123847230628335,0.298666666666667,13.4404373901138
"H_HT","CKS1B","XLOC_001633",-0.00745540073398081,0.2821,54.0558280697931
"H_HT","MIR600HG","XLOC_054376",-0.152515551751062,0.275833333333333,16.3195912112935
"H_HT","DGAT1","XLOC_052341",0.0724794712766732,0.262933333333333,65.1889867918858
"H_HT","SEMA6B","XLOC_026932",-0.161468304327241,0.2586,12.3419686110889
"H_HT","TBCA","XLOC_043301",0.147471345790622,0.255933333333333,336.934175976431
"H_HT","PRPF38A","XLOC_000801",0.0721058335428033,0.2532,60.1829502423398
"H_HT","ZNF316","XLOC_047195",-0.0890374871688767,0.250766666666667,35.1450236832415
"H_HT","NUP155","XLOC_043002",-0.0980204497578093,0.249533333333333,12.5055342604512
"H_HT","PDCD5","XLOC_026083",0.14737364136759,0.2401,141.732374211078
"H_HT","RPS28","XLOC_025649",0.0826251379604561,0.2385,661.443309731656
"H_HT","PRKCH","XLOC_015442",-0.0351593666462613,0.231633333333333,28.3348616217229
"H_HT","ATPAF2","XLOC_023119",-0.193295825637933,0.2208,68.6920733265598
"H_HT","IL36B","XLOC_031149",0.0175876949860986,0.220766666666667,12.2797117125453
"H_HT","PSMB2","XLOC_003208",0.100847755817936,0.2186,197.11774748956
"H_HT","PDZD11","XLOC_056313",-0.226756249360497,0.212966666666667,63.1468722085252
"H_HT","VPS54","XLOC_030641",-0.171378443391883,0.203333333333333,22.3164923140393
"H_HT","HBS1L","XLOC_046825",0.0084056154280252,0.2003,52.231394043768
"H_HT","TMA16","XLOC_039818",-0.232384039481363,0.1999,18.7675613091496
"H_HT","NSD3","XLOC_051529",-0.156602109396355,0.192933333333333,20.8747043953284
"H_HT","RASA3","XLOC_014876",0.0180522088401745,0.1925,44.1043452625389
"H_HT","MTMR3","XLOC_034730",-0.0573622001751699,0.191166666666667,32.9121727079182
"H_HT","PIP4K2B","XLOC_023452",-0.0398126380364618,0.1879,13.3835638235149
"H_HT","SLC13A3","XLOC_033321",-0.0611361817791024,0.187333333333333,18.2241786204067
"H_HT","YY1AP1","XLOC_004268",-0.0131007433519732,0.185466666666667,72.9799274080946
"H_HT","DIS3L","XLOC_017625",-0.246624049966693,0.184666666666667,14.7985396365928
"H_HT","PHF14","XLOC_047225",-0.215173171261436,0.1833,12.5335166251098
"H_HT","ELF2","XLOC_040913",0.133961916006295,0.181566666666667,13.7787322600842
"H_HT","SLC9A9","XLOC_038197",0.138021064098075,0.180466666666667,12.5196099540507
"H_HT","ZNF664","XLOC_011964",-0.123312474255095,0.176733333333333,37.6465124729692
"H_HT","TM9SF4","XLOC_032404",0.0899283658296184,0.176666666666667,82.3500369599376
"H_HT","CPSF1","XLOC_052344",0.0990318285511156,0.1764,43.8374290588316
"H_HT","TMEM126B","XLOC_008611",-0.0370650305581623,0.171966666666667,76.4686384530688
"H_HT","BCOR","XLOC_056046",-0.00434998661524972,0.1701,13.6791030784609
"H_HT","KMT5B","XLOC_009970",-0.199028814467697,0.167966666666667,30.0726163907032
"H_HT","ALG14","XLOC_003768",-0.140955088993681,0.167766666666667,18.017506281716
"H_HT","SACM1L","XLOC_035959",-0.0105104304126431,0.167366666666667,52.7088195947423
"H_HT","SLC39A6","XLOC_025160",0.0462718823599933,0.1666,48.1552981800001
"H_HT","ATG13","XLOC_007997",0.0507811418549736,0.164033333333333,75.2051275920686
"H_HT","CGRRF1","XLOC_015374",-0.239401219614949,0.1625,16.3332918101295
"H_HT","ME2","XLOC_024622",-0.116146417640445,0.1619,173.075677587074
"H_HT","TMEM14B","XLOC_044260",0.0129902679313631,0.158766666666667,132.232414127641
"H_HT","DPY19L1","XLOC_048875",-0.132470828258456,0.1565,20.2701011340401
"H_HT","LMBRD1","XLOC_046405",-0.0914050857780703,0.154433333333333,118.329620980746
"H_HT","CARD8","XLOC_027759",0.100193410874436,0.154066666666667,41.6725546556629
"H_HT","SIAE","XLOC_010560",0.178562485300192,0.153433333333333,35.5823322837188
"H_HT","MARCHF6","XLOC_041385",0.111459895108052,0.152533333333333,102.182315567048
"H_HT","CLASRP","XLOC_026363",-0.0394973571303595,0.150266666666667,27.4506268444363
