"bin","dataset","n","expr_min","expr_median","if_sd_median","pct_switching","snr_at_threshold"
"[2.08,5.85]","T_HT",4075,2.07958262411018,4.00287826302703,0.0747062469498591,1.12883435582822,2.00786421650489
"(5.85,10.1]","T_HT",4073,5.84563050112982,7.72749224255351,0.0567133288272401,0.736557819788853,2.64488089663947
"(10.1,16]","T_HT",4075,10.0731603998494,12.7629441757753,0.0476566539600365,0.785276073619632,3.14751430358048
"(16,23.2]","T_HT",4071,15.9685848318151,19.4773350907017,0.0411303618591749,0.319331859493982,3.64694092684088
"(23.2,33]","T_HT",4074,23.1566815235588,27.8215691547037,0.0359071717763831,0.441826215022091,4.17743844973773
"(33,46.8]","T_HT",4072,33.0056436705529,39.099815084379,0.0334514324233364,0.466601178781925,4.48411291037441
"(46.8,67.7]","T_HT",4072,46.8735522517439,55.7094962726871,0.0296527519952957,0.319253438113949,5.05855240767525
"(67.7,105]","T_HT",4074,67.7036930539433,82.0464426305871,0.0265443339151561,0.270004909180167,5.65092348820831
"(105,200]","T_HT",4073,105.463290182251,138.317862343589,0.0234586160432935,0.417382764547017,6.39423910273185
"(200,6.65e+04]","T_HT",4072,200.595625143281,377.333878955325,0.0171803908244657,0.343811394891945,8.7308840370728
"[2.02,6.02]","H_HT",3304,2.02342674561772,3.90627356485497,0.0551215977228427,1.2409200968523,2.72125638945039
"(6.02,11.1]","H_HT",3299,6.02203022009824,8.12996111516831,0.0428191351306088,1.54592300697181,3.50310671951835
"(11.1,18.2]","H_HT",3304,11.0758326222353,14.2371000774362,0.0373024126809942,1.57384987893462,4.02118761815173
"(18.2,28.2]","H_HT",3303,18.2647731885603,22.9297518276045,0.0327887684022034,1.0293672419013,4.57473724416926
"(28.2,40.8]","H_HT",3301,28.178433418535,33.7966172776909,0.0291089905928277,0.757346258709482,5.15304711517407
"(40.8,61.6]","H_HT",3300,40.9961668245298,50.4104092870175,0.02694521761269,0.909090909090909,5.56685056903592
"(61.6,95.8]","H_HT",3299,61.5734412969219,76.0581624529961,0.0235358945726168,0.575932100636557,6.37324404803035
"(95.8,157]","H_HT",3306,95.836602015065,120.480876205467,0.0215837664711637,0.453720508166969,6.9496674827539
"(157,350]","H_HT",3299,157.325196033442,215.746755830971,0.0180874726445313,0.27280994240679,8.2930325838172
"(350,1.52e+05]","H_HT",3300,351.364830505568,695.543696709817,0.0134314928362927,0.363636363636364,11.1677831964211
"[2.02,6.18]","U_UT",4692,2.02139671180568,3.81273565009784,0.0798195635017181,1.06564364876385,1.87923854027053
"(6.18,12]","U_UT",4694,6.17521788173971,8.67144200403348,0.0564897957194349,0.511291009799744,2.65534683016022
"(12,20]","U_UT",4694,11.963700257082,15.732054666569,0.0469006477320672,0.553898593949723,3.19825007229998
"(20,30.3]","U_UT",4690,20.0142588356733,24.9465081128227,0.0399229883310452,0.341151385927505,3.75723377108411
"(30.3,43.4]","U_UT",4689,30.265843533164,36.6371668548471,0.0367702778522727,0.191938579654511,4.07938173876837
"(43.4,61.5]","U_UT",4692,43.3599389945911,51.7910099117311,0.0328109483760121,0.127877237851662,4.57164475348308
"(61.5,87.1]","U_UT",4696,61.554257725126,73.4282608523577,0.0305258479062317,0.149063032367973,4.91386841933973
"(87.1,133]","U_UT",4689,87.1562167256748,106.301603546673,0.0270524182529646,0.106632544252506,5.54479080566344
"(133,242]","U_UT",4694,133.170907374156,171.118357099944,0.0239979669063723,0.106518960374947,6.25052949632035
"(242,5.75e+04]","U_UT",4688,242.176739100433,441.982249761952,0.018544472433471,0.106655290102389,8.08866364562977
"[2.02,6.13]","T_UT",4582,2.02208852912561,4.12922419949763,0.0857602811983672,1.5058926233086,1.74906142918356
"(6.13,11.9]","T_UT",4579,6.13229915431824,8.92591090157678,0.0623575309539006,1.13561913081459,2.40548331060272
"(11.9,20.2]","T_UT",4576,11.8972753897525,15.8054676628753,0.0504138284851205,0.743006993006993,2.97537410879779
"(20.2,30.6]","T_UT",4578,20.1630548144325,25.0333259703167,0.0440359121571836,0.524246395806029,3.40631072803906
"(30.6,44.2]","T_UT",4583,30.6045857767001,36.8575732426578,0.0383572244390371,0.26183722452542,3.91060620766244
"(44.2,63.8]","T_UT",4576,44.1515078601513,52.8857267007046,0.0348180507241111,0.371503496503497,4.30811021526047
"(63.8,92.7]","T_UT",4578,63.8322595079663,76.8192640363579,0.0310504122772398,0.37134119702927,4.83085373104534
"(92.7,145]","T_UT",4580,92.7616745239829,113.933828282419,0.028739606790028,0.240174672489083,5.21927808880276
"(145,274]","T_UT",4580,144.841449211497,194.942352419891,0.0241806386165989,0.37117903930131,6.20331011014042
"(274,7.9e+04]","T_UT",4576,274.0531845114,522.139936188443,0.0173689857282448,0.240384615384615,8.63608286326561
