"reference_transcriptome","n_datasets","n_isoforms","n_novel_isoforms","pct_novel_isoforms","n_switching_isoforms","n_novel_switching_isoforms","pct_switching_that_are_novel"
"HT",2,4645,1863,40.1076426264801,496,233,46.9758064516129
"UT",2,2735,1155,42.2303473491773,310,133,42.9032258064516
