"dataset","n_isg","n_other","median_abs_dif_isg","median_abs_dif_other","wilcox_p"
"T_HT",8,87,0.211566666666667,0.177733333333333,0.440953796325753
"H_HT",3,165,0.173066666666667,0.198033333333333,0.71936494482863
"U_UT",4,54,0.39395,0.189416666666667,0.00373388863390124
"T_UT",8,109,0.18665,0.184133333333333,0.570742179420831
