"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_switching_isoforms","n_switching_up","n_switching_down","max_abs_dif_switching","min_isoform_switch_q","min_gene_switch_q","novel_involved","has_multi_isoform_opposing_switch","dataset_key","dataset_label","rank"
"XLOC_013667","MIPEPP3",5,1,1,0,1,0.258133333333333,0.0111525154795866,0.0111525154795866,TRUE,FALSE,"U_UT","U_UT",41
"XLOC_015074","ANG",6,1,0,0,1,0.256666666666667,0.000307541401859373,0.000307541401859373,FALSE,FALSE,"U_UT","U_UT",42
"XLOC_030529","CGREF1",6,1,0,1,0,0.239333333333333,0.00351235648299829,0.00351235648299829,FALSE,FALSE,"U_UT","U_UT",43
"XLOC_047270","IPCEF1",11,1,0,0,1,0.238733333333333,0.00200744872852647,0.000397164125925945,FALSE,FALSE,"U_UT","U_UT",44
"XLOC_048112","ZP3",7,1,0,0,1,0.238066666666667,0.00732965381213103,0.00732965381213103,FALSE,FALSE,"U_UT","U_UT",45
"XLOC_046060","TFAP2A",11,1,0,1,0,0.235266666666667,0.0449115888992504,0.0449115888992504,FALSE,FALSE,"U_UT","U_UT",46
"XLOC_045100","TMEM63B",5,1,0,1,0,0.228933333333333,1.30895071084853e-14,1.30895071084853e-14,FALSE,FALSE,"U_UT","U_UT",47
"XLOC_046223","H3C12",4,1,0,1,0,0.227333333333333,0.0028768130750744,0.0028768130750744,FALSE,FALSE,"U_UT","U_UT",48
"XLOC_032481","RIN2",6,1,0,1,0,0.2246,0.000301325584856569,0.000301325584856569,FALSE,FALSE,"U_UT","U_UT",49
"XLOC_044683","TRIM38",8,1,1,0,1,0.220533333333333,0.00432056512243978,0.00432056512243978,TRUE,FALSE,"U_UT","U_UT",50
"XLOC_056546","FAM156A",12,1,0,0,1,0.2188,2.18231385302281e-15,2.18231385302281e-15,FALSE,FALSE,"U_UT","U_UT",51
"XLOC_046790","UBE3D",10,1,1,0,1,0.2177,0.00397315251189841,2.45295282010082e-05,TRUE,FALSE,"U_UT","U_UT",52
"XLOC_045617","LAMA2",12,1,1,1,0,0.2125,0.00157608643914961,0.00157608643914961,TRUE,FALSE,"U_UT","U_UT",53
"XLOC_045589","TPD52L1",10,1,0,0,1,0.211333333333333,0.0034904596606769,0.0034904596606769,FALSE,FALSE,"U_UT","U_UT",54
"XLOC_005858","SLC29A3",9,1,1,0,1,0.2036,0.00034838713450153,0.00034838713450153,TRUE,FALSE,"U_UT","U_UT",55
"XLOC_011077","ETFBKMT",8,1,1,1,0,0.203133333333333,0.0229169201779544,0.0229169201779544,TRUE,FALSE,"U_UT","U_UT",56
"XLOC_046987","LINC02541",15,1,1,1,0,0.202533333333333,7.96424323419143e-06,7.96424323419143e-06,TRUE,FALSE,"U_UT","U_UT",57
"XLOC_044407","ENSG00000253520",3,1,1,1,0,0.200366666666667,0.0101039037544378,0.0101039037544378,TRUE,FALSE,"U_UT","U_UT",58
"XLOC_008629","USP35",6,1,0,1,0,0.199366666666667,0.000191363543156514,0.000191363543156514,FALSE,FALSE,"U_UT","U_UT",59
"XLOC_036091","WDR48",7,1,1,1,0,0.1976,0.0161005551200124,3.16984236366862e-18,TRUE,FALSE,"U_UT","U_UT",60
"XLOC_051707","TNFRSF10A",3,1,0,0,1,0.1966,9.78573323281795e-06,9.78573323281795e-06,FALSE,FALSE,"U_UT","U_UT",61
"XLOC_053451","FSD1L",9,1,0,1,0,0.193933333333333,0.00576110899841558,0.00576110899841558,FALSE,FALSE,"U_UT","U_UT",62
"XLOC_009382","SBF2",10,1,1,0,1,0.189266666666667,0.0174376471160519,0.0174376471160519,TRUE,FALSE,"U_UT","U_UT",63
"XLOC_011856","FAM216A",5,1,1,0,1,0.1887,6.04810516151594e-08,6.04810516151594e-08,TRUE,FALSE,"U_UT","U_UT",64
"XLOC_007337","STN1",10,1,1,0,1,0.184633333333333,0.000165768245659979,0.000165768245659979,TRUE,FALSE,"U_UT","U_UT",65
"XLOC_020932","ENSG00000261840",5,1,1,0,1,0.182233333333333,0.000686537097249809,0.000686537097249809,TRUE,FALSE,"U_UT","U_UT",66
"XLOC_045851","SYNJ2",4,1,0,0,1,0.181233333333333,0.00230274194467558,0.00230274194467558,FALSE,FALSE,"U_UT","U_UT",67
"XLOC_017830","ISLR",3,1,1,1,0,0.177833333333333,0.0343799709963274,0.0343799709963274,TRUE,FALSE,"U_UT","U_UT",68
"XLOC_001093","GBP1P1",7,1,1,1,0,0.1768,0.0209434200042643,0.0209434200042643,TRUE,FALSE,"U_UT","U_UT",69
"XLOC_014548","KBTBD7",4,1,1,0,1,0.1731,3.72679269627921e-06,3.72679269627921e-06,TRUE,FALSE,"U_UT","U_UT",70
"XLOC_001497","NOTCH2NLC",6,1,1,0,1,0.172033333333333,0.00394440764347633,0.00394440764347633,TRUE,FALSE,"U_UT","U_UT",71
"XLOC_051668","PSD3",6,1,0,0,1,0.171466666666667,8.72260294219053e-05,8.72260294219053e-05,FALSE,FALSE,"U_UT","U_UT",72
"XLOC_006149","TLX1",4,1,0,1,0,0.166933333333333,2.15923464204543e-06,2.15923464204543e-06,FALSE,FALSE,"U_UT","U_UT",73
"XLOC_016784","GALC",12,1,0,1,0,0.166,0.0475164612197171,0.0475164612197171,FALSE,FALSE,"U_UT","U_UT",74
"XLOC_020854","NUPR1",8,1,1,0,1,0.165966666666667,0.00385695661216565,0.00385695661216565,TRUE,FALSE,"U_UT","U_UT",75
"XLOC_036631","NEPRO-AS1",7,1,0,1,0,0.1615,0.0133925189266396,0.0133925189266396,FALSE,FALSE,"U_UT","U_UT",76
"XLOC_003349","KDM4A-AS1",10,1,0,0,1,0.160233333333333,7.55157600654267e-06,7.55157600654267e-06,FALSE,FALSE,"U_UT","U_UT",77
"XLOC_002245","RASSF5",8,1,0,0,1,0.159566666666667,0.000767934198526106,1.11774481394504e-10,FALSE,FALSE,"U_UT","U_UT",78
"XLOC_054753","PIP5KL1",10,1,0,0,1,0.157866666666667,0.00838322960872709,0.00838322960872709,FALSE,FALSE,"U_UT","U_UT",79
"XLOC_011852","IFT81",9,1,1,0,1,0.157733333333333,0.041857681292763,0.041857681292763,TRUE,FALSE,"U_UT","U_UT",80
"XLOC_046759","PHIP",5,1,0,0,1,0.1562,0.0209434200042643,0.014410009283768,FALSE,FALSE,"U_UT","U_UT",81
"XLOC_022990","SLC43A2",7,1,0,1,0,0.1561,2.96573636400851e-07,2.96573636400851e-07,FALSE,FALSE,"U_UT","U_UT",82
"XLOC_031205","MGAT4A",5,1,0,0,1,0.153666666666667,0.000516752013785854,0.000516752013785854,FALSE,FALSE,"U_UT","U_UT",83
"XLOC_012782","ENSG00000257337",12,1,0,0,1,0.1511,0.0195341717956963,0.0195341717956963,FALSE,FALSE,"U_UT","U_UT",84
