"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_switching_isoforms","n_switching_up","n_switching_down","max_abs_dif_switching","min_isoform_switch_q","min_gene_switch_q","novel_involved","has_multi_isoform_opposing_switch","dataset_key","dataset_label","rank"
"XLOC_011692","MRPL42",16,1,1,0,1,0.2198,0.000132562829804158,0.000132562829804158,TRUE,FALSE,"T_UT","T_UT",42
"XLOC_027926","LIG1",18,1,1,1,0,0.218666666666667,1.74572161807984e-15,1.74572161807984e-15,TRUE,FALSE,"T_UT","T_UT",43
"XLOC_023939","SAMD14",10,1,0,0,1,0.217633333333333,0.000873123313278757,0.000873123313278757,FALSE,FALSE,"T_UT","T_UT",44
"XLOC_045156","TMEM14A",8,1,1,0,1,0.213633333333333,8.28312815439018e-06,8.28312815439018e-06,TRUE,FALSE,"T_UT","T_UT",45
"XLOC_030459","HS1BP3",8,1,0,0,1,0.211666666666667,8.97002774246209e-05,8.97002774246209e-05,FALSE,FALSE,"T_UT","T_UT",46
"XLOC_006084","TBC1D12",10,1,0,0,1,0.2096,0.00752147450084824,0.00752147450084824,FALSE,FALSE,"T_UT","T_UT",47
"XLOC_050046","ZC3HAV1",9,1,0,0,1,0.202066666666667,6.20953726806531e-05,5.10896137707775e-12,FALSE,FALSE,"T_UT","T_UT",48
"XLOC_047626","SNX10",19,1,1,1,0,0.201366666666667,5.82372668136214e-09,5.82372668136214e-09,TRUE,FALSE,"T_UT","T_UT",49
"XLOC_039900","ELMOD2",10,1,1,1,0,0.1997,9.6385283592061e-06,9.6385283592061e-06,TRUE,FALSE,"T_UT","T_UT",50
"XLOC_053451","FSD1L",14,1,1,1,0,0.1978,4.25165113729314e-13,4.25165113729314e-13,TRUE,FALSE,"T_UT","T_UT",51
"XLOC_001303","CTTNBP2NL",6,1,0,0,1,0.194233333333333,2.04526543797609e-05,2.04526543797609e-05,FALSE,FALSE,"T_UT","T_UT",52
"XLOC_007468","FAM53B",10,1,0,0,1,0.192366666666667,1.51483083837069e-06,1.51483083837069e-06,FALSE,FALSE,"T_UT","T_UT",53
"XLOC_017650","MYZAP",21,1,0,1,0,0.192266666666667,3.09329337734766e-05,6.44110322615486e-06,FALSE,FALSE,"T_UT","T_UT",54
"XLOC_010628","TMEM218",25,1,1,1,0,0.1882,0.000457435358927328,0.000457435358927328,TRUE,FALSE,"T_UT","T_UT",55
"XLOC_013382","SPRING1",6,1,1,0,1,0.187766666666667,2.65548046136346e-05,2.65548046136346e-05,TRUE,FALSE,"T_UT","T_UT",56
"XLOC_011376","DGKA",42,1,1,0,1,0.186933333333333,0.00831334756392417,0.00831334756392417,TRUE,FALSE,"T_UT","T_UT",57
"XLOC_031422","SAP130",9,1,1,1,0,0.186566666666667,0.0126882086065682,0.0126882086065682,TRUE,FALSE,"T_UT","T_UT",58
"XLOC_023867","OSBPL7",11,1,0,0,1,0.185966666666667,0.0458655829259716,0.0458655829259716,FALSE,FALSE,"T_UT","T_UT",59
"XLOC_019580","MOSMO",7,1,0,1,0,0.185433333333333,9.20870221724694e-09,9.20870221724694e-09,FALSE,FALSE,"T_UT","T_UT",60
"XLOC_003727","GBP1",21,1,1,0,1,0.185066666666667,0.00372802908997036,0.00372802908997036,TRUE,FALSE,"T_UT","T_UT",61
"XLOC_047710","HERPUD2-AS1",4,1,0,1,0,0.1844,0.0252856205229318,0.0252856205229318,FALSE,FALSE,"T_UT","T_UT",62
"XLOC_011307","SP1",7,1,0,1,0,0.184133333333333,0.0231581098211931,0.0231581098211931,FALSE,FALSE,"T_UT","T_UT",63
"XLOC_001352","PTGFRN",5,1,1,1,0,0.183033333333333,0.0121347643414258,0.0121347643414258,TRUE,FALSE,"T_UT","T_UT",64
"XLOC_046393","HLA-DMB",18,1,0,1,0,0.1825,0.0188602178947764,0.0188602178947764,FALSE,FALSE,"T_UT","T_UT",65
"XLOC_036627","SLC35A5",13,1,1,0,1,0.1824,0.000730147398212981,0.000730147398212981,TRUE,FALSE,"T_UT","T_UT",66
"XLOC_032481","RIN2",12,1,0,0,1,0.180766666666667,0.0074809445162132,0.00248699805196082,FALSE,FALSE,"T_UT","T_UT",67
"XLOC_045851","SYNJ2",10,1,1,1,0,0.180266666666667,0.000715365628159313,0.000715365628159313,TRUE,FALSE,"T_UT","T_UT",68
"XLOC_015494","SOCS4",6,1,0,1,0,0.1795,0.0248632372441993,0.0248632372441993,FALSE,FALSE,"T_UT","T_UT",69
"XLOC_008309","TTC9C",9,1,1,1,0,0.179033333333333,0.00561416436477699,0.00561416436477699,TRUE,FALSE,"T_UT","T_UT",70
"XLOC_012843","PYM1",9,1,1,0,1,0.1764,0.00150795903265539,0.00150795903265539,TRUE,FALSE,"T_UT","T_UT",71
"XLOC_007464","CHST15",10,1,0,1,0,0.1762,3.52133772712795e-06,3.52133772712795e-06,FALSE,FALSE,"T_UT","T_UT",72
"XLOC_046876","MMS22L",16,1,0,0,1,0.175433333333333,0.0315242224399333,0.0315242224399333,FALSE,FALSE,"T_UT","T_UT",73
"XLOC_043956","MEIKIN",28,1,1,0,1,0.175133333333333,0.0358751310446633,0.0358751310446633,TRUE,FALSE,"T_UT","T_UT",74
"XLOC_029250","MERTK",20,1,1,1,0,0.172866666666667,5.03685833035908e-06,5.03685833035908e-06,TRUE,FALSE,"T_UT","T_UT",75
"XLOC_005665","ALOX5",10,1,1,1,0,0.172233333333333,0.00197096378994973,0.00030010697915626,TRUE,FALSE,"T_UT","T_UT",76
"XLOC_012456","SOX5",20,1,0,0,1,0.170966666666667,5.46446108017101e-06,5.46446108017101e-06,FALSE,FALSE,"T_UT","T_UT",77
"XLOC_039304","DCUN1D4",25,1,1,1,0,0.1706,0.0462760277510035,0.000239975035937582,TRUE,FALSE,"T_UT","T_UT",78
"XLOC_055232","ZNF674-AS1",6,1,0,1,0,0.169133333333333,0.00527615140450754,0.00527615140450754,FALSE,FALSE,"T_UT","T_UT",79
"XLOC_008203","RTN4RL2",3,1,0,1,0,0.168633333333333,2.62012835846139e-05,2.62012835846139e-05,FALSE,FALSE,"T_UT","T_UT",80
"XLOC_002545","LGALS8",26,1,0,0,1,0.168433333333333,0.00199292408809378,0.00199292408809378,FALSE,FALSE,"T_UT","T_UT",81
"XLOC_034947","SEC14L2",26,1,0,0,1,0.1682,0.0480852450459086,8.7879283550161e-05,FALSE,FALSE,"T_UT","T_UT",82
"XLOC_049531","BCL7B",15,1,0,1,0,0.168033333333333,4.08826244867543e-06,4.08826244867543e-06,FALSE,FALSE,"T_UT","T_UT",83
"XLOC_003879","SORT1",9,1,1,0,1,0.165833333333333,0.0106369920078681,0.0106369920078681,TRUE,FALSE,"T_UT","T_UT",84
"XLOC_001966","RASAL2",14,1,0,0,1,0.1658,0.00148932990502693,0.00148932990502693,FALSE,FALSE,"T_UT","T_UT",85
"XLOC_040823","CNOT6L",14,1,0,0,1,0.165766666666667,0.000728661968375191,0.000728661968375191,FALSE,FALSE,"T_UT","T_UT",86
"XLOC_034636","USP18",23,1,1,0,1,0.165566666666667,1.46320669008634e-14,1.46320669008634e-14,TRUE,FALSE,"T_UT","T_UT",87
"XLOC_035198","TTC38",8,1,0,0,1,0.164733333333333,0.00230361214714751,0.00230361214714751,FALSE,FALSE,"T_UT","T_UT",88
"XLOC_056286","RPS6KA3",25,1,0,0,1,0.164733333333333,0.0285329222037527,9.78765931577949e-06,FALSE,FALSE,"T_UT","T_UT",89
"XLOC_051993","BPNT2",3,1,0,0,1,0.163866666666667,2.50521198047331e-13,2.50521198047331e-13,FALSE,FALSE,"T_UT","T_UT",90
"XLOC_006121","R3HCC1L",11,1,1,1,0,0.162866666666667,0.000556371558929562,0.000556371558929562,TRUE,FALSE,"T_UT","T_UT",91
"XLOC_005987","CCSER2",10,1,0,0,1,0.1628,0.00237028922565605,0.00237028922565605,FALSE,FALSE,"T_UT","T_UT",92
"XLOC_053892","ZDHHC21",3,1,0,0,1,0.162666666666667,0.00827580615667198,0.00827580615667198,FALSE,FALSE,"T_UT","T_UT",93
"XLOC_028564","GALM",11,1,1,0,1,0.161966666666667,0.00191782707415772,0.00191782707415772,TRUE,FALSE,"T_UT","T_UT",94
"XLOC_027153","CLEC4G",21,1,1,1,0,0.160266666666667,3.93718160441395e-06,3.93718160441395e-06,TRUE,FALSE,"T_UT","T_UT",95
"XLOC_025855","PPAN-P2RY11",14,1,0,0,1,0.1599,6.66870485702823e-08,6.02114089869421e-11,FALSE,FALSE,"T_UT","T_UT",96
"XLOC_050251","CLN8",32,1,0,0,1,0.1598,0.000167144015314237,0.000167144015314237,FALSE,FALSE,"T_UT","T_UT",97
"XLOC_033961","ITSN1",22,1,1,0,1,0.159733333333333,0.0476287317903452,0.0402824869292275,TRUE,FALSE,"T_UT","T_UT",98
"XLOC_022129","RHOT1",26,1,1,1,0,0.157933333333333,1.9065804651382e-11,1.9065804651382e-11,TRUE,FALSE,"T_UT","T_UT",99
"XLOC_051298","XLOC_051298",5,1,1,0,1,0.1579,0.00928499029672927,0.00928499029672927,TRUE,FALSE,"T_UT","T_UT",100
"XLOC_054896","FUT7",9,1,0,0,1,0.157266666666667,3.11784819340434e-76,3.11784819340434e-76,FALSE,FALSE,"T_UT","T_UT",101
"XLOC_010504","PCSK7",22,1,1,0,1,0.1571,9.84562996977448e-05,9.84562996977448e-05,TRUE,FALSE,"T_UT","T_UT",102
"XLOC_056436","SLC9A7",7,1,1,1,0,0.156333333333333,0.0023359023721059,0.0023359023721059,TRUE,FALSE,"T_UT","T_UT",103
"XLOC_025854","SHFL",14,1,0,0,1,0.1562,0.00486661930346133,7.65937794604584e-05,FALSE,FALSE,"T_UT","T_UT",104
"XLOC_027043","DIRAS1",9,1,0,0,1,0.1556,4.14146921434161e-11,4.14146921434161e-11,FALSE,FALSE,"T_UT","T_UT",105
"XLOC_034635","PEX26",12,1,0,1,0,0.155066666666667,0.00227490612687038,0.00227490612687038,FALSE,FALSE,"T_UT","T_UT",106
"XLOC_046117","TPMT",7,1,1,0,1,0.154666666666667,2.8810726606065e-27,2.8810726606065e-27,TRUE,FALSE,"T_UT","T_UT",107
"XLOC_034074","AGPAT3",14,1,0,0,1,0.154633333333333,0.000430611225812753,0.000430611225812753,FALSE,FALSE,"T_UT","T_UT",108
"XLOC_053931","HACD4",7,1,1,1,0,0.154633333333333,0.00148764538564413,0.00148764538564413,TRUE,FALSE,"T_UT","T_UT",109
"XLOC_026050","BISPR",31,1,0,0,1,0.1539,2.03923994579207e-06,2.03923994579207e-06,FALSE,FALSE,"T_UT","T_UT",110
"XLOC_036833","ACP3",24,1,1,0,1,0.1536,1.75281096456485e-20,9.07569473996561e-23,TRUE,FALSE,"T_UT","T_UT",111
"XLOC_024293","TIMP2",9,1,0,0,1,0.153533333333333,0.0159906278592291,0.0159906278592291,FALSE,FALSE,"T_UT","T_UT",112
"XLOC_023485","EVI2B",13,1,1,1,0,0.153266666666667,0.041887100423427,0.041887100423427,TRUE,FALSE,"T_UT","T_UT",113
"XLOC_003920","TMIGD3",34,1,1,0,1,0.1529,0.00393389948497279,8.27167708482908e-06,TRUE,FALSE,"T_UT","T_UT",114
"XLOC_041035","ZGRF1",14,1,1,0,1,0.1528,0.00468949931537505,0.00468949931537505,TRUE,FALSE,"T_UT","T_UT",115
"XLOC_017457","RPUSD2",4,1,0,1,0,0.152266666666667,0.0412866076999075,9.56451678357375e-07,FALSE,FALSE,"T_UT","T_UT",116
"XLOC_028734","EHBP1",22,1,1,0,1,0.1514,0.00268478385159978,0.00268478385159978,TRUE,FALSE,"T_UT","T_UT",117
"XLOC_035738","ARFGAP3",30,1,0,0,1,0.151133333333333,5.70890249137073e-09,2.45402096043769e-13,FALSE,FALSE,"T_UT","T_UT",118
