"rank","gene_name","dif_rank","lfc_rank","visibility","called_in","annotation_robust","annotation_status","cross_genotype_support","dif_anchor","dif_reannot","dif_cross","lfc_anchor","lfc_reannot","expr_anchor","n_iso_anchor","switches_anchor","testable_anchor","switches_reannot","testable_reannot","switches_cross","testable_cross","list_rank"
1,"NCOA7",0.652166666666667,2.8595842321317,"also changes expression","both annotations",TRUE,"robust (called in both)","also switches in H_HT",0.652166666666667,0.6734,0.522466666666667,2.8595842321317,2.73358754587748,122.357653873695,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1
2,"RBKS",0.4654,1.25876240658951,"also changes expression","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.4654,0.4408,,1.25876240658951,1.31744325860813,15.3329232469518,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2
3,"THAP2",0.438533333333333,0.355440087699015,"also changes expression","both annotations",TRUE,"robust (called in both)","not testable in H_HT",0.438533333333333,0.4244,,0.355440087699015,0.496141036181169,25.0730428659719,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3
5,"RSAD2",0.3671,4.24416023962852,"also changes expression","both annotations",TRUE,"robust (called in both)","also switches in H_HT",0.3671,0.3374,0.163033333333333,4.24416023962852,4.53374878874756,66.6054758078063,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
7,"CD86",0.3443,0.0910286280408065,"cryptic (DE would miss it)","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.3443,0.435666666666667,,0.0910286280408065,0.726185481501296,16.0998409667209,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,5
8,"MREG",0.318433333333333,0.533385294166751,"also changes expression","both annotations",TRUE,"robust (called in both)","not testable in H_HT",0.318433333333333,0.332966666666667,,0.533385294166751,0.690901471652284,14.8840041020161,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,6
9,"KDM6B",0.304066666666667,2.73065119752415,"also changes expression","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.304066666666667,0.303933333333333,,2.73065119752415,2.8311712935798,88.1606526246569,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7
11,"KITLG",0.294333333333333,0.718309719788152,"also changes expression","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.294333333333333,0.2996,,0.718309719788152,0.810983248249507,15.1898793806093,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,8
12,"IPCEF1",0.289966666666667,0.141021882397063,"cryptic (DE would miss it)","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.289966666666667,0.275,,0.141021882397063,0.205414797066233,43.666486586311,5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,9
13,"IFITM2",0.289,0.766740329782652,"also changes expression","both annotations",TRUE,"robust (called in both)","also switches in H_HT",0.289,0.289466666666667,0.363,0.766740329782652,0.84476558181026,289.00121263262,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10
14,"DDX58",0.281966666666667,3.42232030748969,"also changes expression","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.281966666666667,0.2854,,3.42232030748969,3.52232001184953,181.345004567139,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,11
21,"IL23A",0.2664,4.42690634033566,"also changes expression","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.2664,0.313633333333333,,4.42690634033566,4.50952775792314,190.418837787326,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,12
23,"RGS19",0.262466666666667,-1.62852369414491,"also changes expression","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.262466666666667,0.2572,,-1.62852369414491,-1.57215771099124,56.8054923966197,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,13
27,"RIN3",0.2494,0.61460392491119,"also changes expression","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.2494,0.261433333333333,,0.61460392491119,0.695455414531522,60.3034549735492,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,14
29,"TMEM63B",0.2477,0.863113376543324,"also changes expression","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.2477,0.2444,,0.863113376543324,0.946962749877352,62.4893875535031,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,15
30,"ARHGAP26",0.246866666666667,0.410883104369707,"also changes expression","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.246866666666667,0.2461,,0.410883104369707,0.507676687818973,49.7264019585602,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,16
33,"GBP1",0.239266666666667,2.11823236817367,"also changes expression","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.239266666666667,0.185066666666667,,2.11823236817367,2.18237454465392,99.948790389714,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,17
36,"LINC00278",0.235,-0.569237004645487,"also changes expression","both annotations",TRUE,"robust (called in both)","not testable in H_HT",0.235,0.241566666666667,,-0.569237004645487,-0.607894884381015,12.5078127805088,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,18
37,"CCL3",0.234666666666667,4.55786289889207,"also changes expression","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.234666666666667,0.235966666666667,,4.55786289889207,4.64815398465184,5413.64924643446,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,19
