"gene_name","sw_A","dif_A","floor_A","sw_B","dif_B","floor_B","other_dif","other_floor","reason"
"ARMCX3",TRUE,0.150166666666667,TRUE,FALSE,0.0836666666666667,TRUE,0.0836666666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"NME7",TRUE,0.1929,TRUE,FALSE,0.0822333333333333,TRUE,0.0822333333333333,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"TXNL4B",FALSE,0.0792666666666667,TRUE,TRUE,0.246633333333333,TRUE,0.0792666666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"BCL7B",FALSE,0.0668333333333333,TRUE,TRUE,0.168033333333333,TRUE,0.0668333333333333,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"TIMP2",FALSE,0.0664666666666666,TRUE,TRUE,0.157233333333333,TRUE,0.0664666666666666,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"TMEM218",FALSE,0.0562333333333333,TRUE,TRUE,0.1882,TRUE,0.0562333333333333,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"PHLDA3",TRUE,0.251133333333333,TRUE,FALSE,0.0546333333333333,TRUE,0.0546333333333333,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"KATNA1",TRUE,0.214433333333333,TRUE,FALSE,0.0496,TRUE,0.0496,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"ALKBH3",TRUE,0.2671,TRUE,FALSE,0.0477,TRUE,0.0477,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"MEIKIN",FALSE,0.047,FALSE,TRUE,0.175133333333333,TRUE,0.047,FALSE,"below the expression floor"
"ELMOD2",FALSE,0.0457333333333333,FALSE,TRUE,0.1997,TRUE,0.0457333333333333,FALSE,"below the expression floor"
"COG4",TRUE,0.2253,TRUE,FALSE,0.0431,TRUE,0.0431,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"PITPNC1",TRUE,0.221233333333333,TRUE,FALSE,0.0421333333333332,TRUE,0.0421333333333332,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"RUBCN",TRUE,0.294733333333333,TRUE,FALSE,0.0379,TRUE,0.0379,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"TBC1D12",FALSE,0.0374666666666667,FALSE,TRUE,0.2096,TRUE,0.0374666666666667,FALSE,"below the expression floor"
"UTS2",FALSE,0.0257666666666667,TRUE,TRUE,0.176833333333333,TRUE,0.0257666666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"TMEM14A",FALSE,0.0247666666666667,TRUE,TRUE,0.213633333333333,TRUE,0.0247666666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"BPNT2",FALSE,0.0104666666666667,TRUE,TRUE,0.1708,TRUE,0.0104666666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"CCDC117",TRUE,0.233266666666667,TRUE,FALSE,0.0055,TRUE,0.0055,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"C5orf51",TRUE,0.164933333333333,TRUE,FALSE,0.0034,TRUE,0.0034,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
