"dataset","marker","n_cryptic","n_other","pct_cryptic","pct_other","p"
"T_HT","PTC",27,82,0,9.75609756097561,0.196218145952359
"T_HT","IR",27,83,11.1111111111111,8.43373493975904,0.704791676901121
"H_HT","PTC",56,152,5.35714285714286,8.55263157894737,0.566250536002576
"H_HT","IR",58,164,12.0689655172414,13.4146341463415,1
"U_UT","PTC",12,49,8.33333333333333,4.08163265306122,0.488080022228397
"U_UT","IR",13,52,7.69230769230769,7.69230769230769,1
"T_UT","PTC",20,98,5,5.10204081632653,1
"T_UT","IR",20,101,10,14.8514851485149,0.735341413983262
