"true_ratio","expression","splicing_A","splicing_B"
1,0.997648136102324,1.01336149616441,0.990200673172
0.9,0.912193401118836,0.84127758542355,0.868520505466555
0.8,0.835943502733536,0.67665316395785,0.722509105202044
0.7,0.759401960698021,0.536634844426178,0.589854522445535
0.6,0.683199067043014,0.41628030242948,0.473964390618458
0.5,0.616404265844874,0.273153823375778,0.340111001487874
0.4,0.559900864863828,0.200738895019353,0.240481615351705
0.3,0.497274771544018,0.10573656458838,0.135320729521076
0.2,0.459870725048723,0.0515466705234594,0.067076140285073
